monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94701903692952,0.0,241074176,240386048
94702003866700,0.0,241074176,240386048
94702104102856,0.0,241074176,240386048
94702204279418,0.0,241074176,240386048
94702304511871,0.0,241074176,240386048
94702404730397,0.0,241074176,240386048
94702504963442,0.0,241090560,240386048
94702605229377,0.0,241090560,240386048
94702705441033,0.0,241090560,240386048
94702805631634,0.0,241090560,240386048
94702905851809,9.97814327642577,241090560,240386048
94703006022613,0.0,241090560,240386048
94703106204936,0.0,241090560,240386048
94703206441907,0.0,241090560,240386048
94703306665953,9.977671368961525,241090560,240386048
94703406895628,0.0,241090560,240386048
94703507138026,0.0,241090560,240386048
94703607429665,0.0,241090560,240386048
94703707669434,0.0,241090560,240386048
94703807880165,0.0,241090560,240386048
94703908198935,0.0,241090560,240386048
94704008410963,0.0,241090560,240386048
94704108589860,0.0,241090560,240386048
94704208787036,0.0,241090560,240386048
94704309009397,0.0,241090560,240386048
94704409264166,9.974600677062229,241090560,240386048
94704509493694,0.0,241090560,240386048
94704609734778,0.0,241090560,240386048
94704709976048,0.0,241090560,240386048
94704810212613,0.0,241090560,240386048
94704910421290,0.0,241090560,240386048
94705010642133,0.0,241090560,240386048
94705110850347,0.0,241090560,240386048
94705211011078,0.0,241090560,240386048
94705311220514,0.0,241090560,240386048
94705411432932,0.0,241090560,240386048
94705511621238,0.0,241090560,240386048
94705611807897,0.0,241090560,240386048
94705712054167,0.0,241090560,240386048
94705812256992,0.0,241090560,240386048
94705912450725,0.0,241090560,240386048
94706012656643,0.0,241090560,240386048
94706112855635,9.980092309943286,241090560,240386048
94706213065516,0.0,241090560,240386048
94706313262990,0.0,241106944,240386048
94706413524927,0.0,241106944,240386048
94706513734494,0.0,241106944,240386048
94706613901227,0.0,241106944,240386048
94706714109053,0.0,241106944,240386048
94706814347565,0.0,241106944,240386048
94706914547317,0.0,241106944,240386048
94707014732532,0.0,241106944,240386048
94707114946117,0.0,241106944,240386048
94707215131425,0.0,241106944,240386048
94707315354399,9.977774208908603,241106944,240386048
