monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
102209453631405,0,9.982054263031278,77234176,77381632
102209553851130,0,0.0,77234176,77381632
102209654058133,0,0.0,77234176,77381632
102209754226950,0,9.983163395444269,77234176,77381632
102209854398267,0,0.0,77234176,77381632
102209954572770,0,9.982596740576703,77234176,77381632
102210054733254,0,0.0,77234176,77381632
102210154921497,0,0.0,77234176,77381632
102210255090777,0,0.0,77234176,77381632
102210355247613,0,9.984353918234689,77234176,77381632
102210455413690,0,9.983248209448643,77234176,77381632
102210555608748,0,0.0,77234176,77381632
102210655788861,0,9.982009923044341,77234176,77381632
102210755970994,0,0.0,77234176,77381632
102210856210533,0,9.976121753877905,77234176,77381632
102210956379499,0,0.0,77234176,77381632
102211056565187,0,9.981539441760459,77234176,77381632
102211156725856,0,0.0,77234176,77381632
102211256918673,0,0.0,77234176,77381632
102211357107732,0,0.0,77234176,77381632
102211457284938,0,9.982177819686525,77234176,77381632
102211557488330,0,9.979809149486442,77234176,77381632
102211657682647,0,0.0,77234176,77381632
102211757878705,0,0.0,77234176,77381632
102211858052375,0,0.0,77234176,77381632
102211958251007,0,9.980229663096207,77234176,77381632
102212058421362,0,0.0,77234176,77381632
102212158584013,0,9.983801881033388,77234176,77381632
102212258747275,0,0.0,77234176,77381632
102212358906852,0,9.984069618008641,77234176,77381632
102212459075817,0,0.0,77234176,77381632
102212559272468,0,0.0,77234176,77381632
102212659446471,0,9.982576411232804,77234176,77381632
102212759635567,0,0.0,77234176,77381632
102212859836458,0,9.979997192302767,77234176,77381632
102212960018276,0,9.981847511268922,77234176,77381632
102213060191075,0,0.0,77234176,77381632
102213160391208,0,0.0,77234176,77381632
102213260584970,0,0.0,77234176,77381632
102213360803102,0,9.978283961962973,77234176,77381632
102213460989846,0,9.981266360429565,77234176,77381632
102213561198368,0,0.0,77234176,77381632
102213661405722,0,0.0,77234176,77381632
102213761572929,0,9.983299835313005,77234176,77381632
102213861735303,0,0.0,77234176,77381632
102213961897287,0,0.0,77234176,77381632
102214062056290,0,9.984073306781418,77234176,77381632
102214162236201,0,0.0,77234176,77381632
102214262401204,0,0.0,77234176,77381632
102214362562670,0,9.983809356818188,77234176,77381632
102214462760025,0,9.980155757980034,77234176,77381632
102214562962676,0,0.0,77234176,77381632
102214663155716,0,0.0,77234176,77381632
102214763346071,0,9.980978549518797,77234176,77381632
102214863557519,0,0.0,77234176,77381632
102214963775855,0,9.978326376603293,77234176,77381632
102215063943877,0,0.0,77234176,77381632
102215164136287,0,0.0,77234176,77381632
102215264312772,0,9.98240481363943,77234176,77381632
102215364503645,0,0.0,77234176,77381632
102215464694649,0,0.0,77234176,77381632
102215564948726,0,9.974752405382624,77234176,77381632
102215665117655,0,9.983148544439697,77234176,77381632
102215765283103,0,0.0,77234176,77381632
102215865444884,0,0.0,77234176,77381632
102215965602665,0,0.0,77234176,77381632
102216065788113,0,9.981526390464326,77234176,77381632
102216165959820,0,9.982803423314161,77234176,77381632
102216266146082,0,0.0,77234176,77381632
102216366313160,0,0.0,77234176,77381632
102216466484719,0,9.98271841674456,77234176,77381632
102216566687555,0,0.0,77234176,77381632
102216666854985,0,0.0,77234176,77381632
102216767033211,0,9.982183300724119,77234176,77381632
102216867218566,0,9.98144529109428,77234176,77381632
102216967435217,0,0.0,77234176,77381632
102217067618480,0,9.981762621020097,77234176,77381632
102217167781558,0,0.0,77234176,77381632
102217267940283,0,0.0,77234176,77381632
102217368109583,0,0.0,77234176,77381632
102217468278068,0,9.982993371491007,77234176,77381632
102217568490609,0,0.0,77234176,77381632
102217668689038,0,9.980196297023106,77234176,77381632
102217768877542,0,0.0,77234176,77381632
102217869056638,0,0.0,77234176,77381632
102217969243789,0,9.981327132636498,77234176,77381632
102218069418978,0,0.0,77234176,77381632
102218169629297,0,9.979134030354347,77234176,77381632
102218269812578,0,0.0,77234176,77381632
102218370024822,0,9.978850025865935,77234176,77381632
102218470216585,0,0.0,77234176,77381632
102218570422940,0,0.0,77234176,77381632
102218670599592,0,9.982334562342807,77234176,77381632
102218770770170,0,0.0,77234176,77381632
102218870950841,0,9.981961796189534,77234176,77381632
102218971120585,0,0.0,77234176,77381632
102219071284126,0,0.0,77234176,77381632
102219171445092,0,9.983945814344986,77234176,77381632
102219271628429,0,9.981675938734242,77234176,77381632
102219371792915,0,0.0,77234176,77381632
102219471969548,0,0.0,77234176,77381632
102219572177867,0,0.0,77234176,77381632
102219672367148,0,9.981133361198665,77234176,77381632
102219772533911,0,9.983379172179252,77234176,77381632
102219872696434,0,0.0,77234176,77381632
102219972855678,0,0.0,77234176,77381632
102220073011460,0,0.0,77234176,77381632
102220173184834,0,9.98267407085714,77234176,77381632
102220273352486,0,0.0,77234176,77381632
102220373530916,0,0.0,77234176,77381632
102220473717272,0,19.96235538969702,77234176,77381632
102220573937905,0,0.0,77234176,77381632
102220674111354,0,0.0,77234176,77381632
102220774295358,0,0.0,77234176,77381632
102220874460602,0,9.983536051193656,77234176,77381632
102220974625773,0,9.983434486248926,77234176,77381632
102221074813388,0,0.0,77234176,77381632
102221175000837,0,0.0,77234176,77381632
102221275195063,0,0.0,77234176,77381632
102221375382011,0,19.962827617728983,77234176,77381632
102221475566274,0,0.0,77234176,77381632
102221575765871,0,0.0,77234176,77381632
102221675947134,0,0.0,77234176,77381632
102221776134157,0,0.0,77234176,77381632
102221876375976,0,19.95152438179957,77234176,77381632
102221976588017,0,0.0,77234176,77381632
102222076779262,0,0.0,77234176,77381632
102222176964710,0,0.0,77234176,77381632
102222277132492,0,9.98327202956456,77234176,77381632
102222377292107,0,0.0,77234176,77381632
102222477463408,0,0.0,77234176,77381632
102222577676542,0,9.97890519267052,77234176,77381632
102222677879990,0,9.979624600692445,77234176,77381632
102222778073865,0,0.0,77234176,77381632
102222878241332,0,9.98329784255329,77234176,77381632
102222978415577,0,0.0,77234176,77381632
102223078620730,0,0.0,77234176,77381632
102223178790752,0,0.0,77234176,77381632
102223278956053,0,9.98346219427678,77234176,77381632
102223379145483,0,9.981118619162281,77234176,77381632
102223479338395,0,0.0,77234176,77381632
102223579540121,0,9.979998985180684,77234176,77381632
102223679713811,0,0.0,77234176,77381632
102223779895260,0,9.981932204320616,77234176,77381632
102223880085283,0,0.0,77234176,77381632
102223980247305,0,0.0,77234176,77381632
102224080408254,0,9.983977113826038,77234176,77381632
102224180561351,0,0.0,77234176,77381632
102224280739319,0,9.982153706091427,77234176,77381632
102224380972656,0,0.0,77234176,77381632
102224481138198,0,0.0,77234176,77381632
102224581332665,0,9.980622322583967,77234176,77381632
102224681525485,0,0.0,77234176,77381632
102224781686767,0,0.0,77234176,77381632
102224881841179,0,0.0,77234176,77381632
102224981999239,0,19.968301319879764,77234176,77381632
102225082187503,0,0.0,77234176,77381632
102225182350081,0,0.0,77234176,77381632
102225282535234,0,0.0,77234176,77381632
102225382707905,0,0.0,77234176,77381632
102225482873965,0,19.966400144205963,77234176,77381632
102225583097711,0,0.0,77234176,77381632
102225683283289,0,0.0,77234176,77381632
102225783442405,0,9.984098923735178,77234176,77381632
102225883607799,0,0.0,77234176,77381632
102225983807155,0,0.0,77234176,77381632
102226083980104,0,0.0,77234176,77381632
102226184176498,0,9.980366024235478,77234176,77381632
102226284364391,0,9.981314081895343,77234176,77381632
102226384523562,0,9.984132218719282,77234176,77381632
102226484688752,0,0.0,77234176,77381632
102226584881776,0,0.0,77234176,77381632
102226685043373,0,0.0,77234176,77381632
102226785200119,0,0.0,77234176,77381632
102226885357994,0,9.984132218719282,77234176,77381632
102226985571795,0,0.0,77234176,77381632
102227085748485,0,9.982330774801692,77234176,77381632
102227185924508,0,9.982467393475565,77234176,77381632
102227286086568,0,0.0,77234176,77381632
102227386240073,0,0.0,77234176,77381632
102227486397485,0,9.984106301326323,77234176,77381632
102227586597157,0,0.0,77234176,77381632
102227686769680,0,9.98279216259403,77234176,77381632
102227786933352,0,0.0,77234176,77381632
102227887091172,0,0.0,77234176,77381632
102227987269547,0,0.0,77234176,77381632
102228087467922,0,19.96071711011099,77234176,77381632
