window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
542,15553408857470,15553425450086,15553568849931,143.399845,159.992461,0
543,15554026637250,15554042304477,15554202961123,160.656646,176.323873,0
544,15554644866845,15554662834018,15554790860301,128.026283,145.993456,0
545,15555261354218,15555279183631,15555416376770,137.193139,155.022552,0
546,15555880040110,15555908522045,15556074439916,165.917871,194.399806,0
547,15556498697891,15556517590564,15556654962407,137.371843,156.264516,0
548,15557115746024,15557131702548,15557291001990,159.299442,175.255966,0
549,15557733173139,15557749224459,15557878724762,129.500303,145.551623,0
550,15558352516180,15558368453908,15558514193513,145.739605,161.677333,0
551,15558968842240,15558984904578,15559140948557,156.043979,172.106317,0
552,15559587165689,15559602868102,15559723924605,121.056503,136.758916,0
553,15560205747823,15560221336384,15560349288853,127.952469,143.54103,0
554,15560822953958,15560838654019,15560996097979,157.44396,173.144021,0
555,15561441161408,15561456874820,15561599181498,142.306678,158.02009,0
556,15562059631747,15562075356419,15562237790159,162.43374,178.158412,0
557,15562677324086,15562693051498,15562829448378,136.39688,152.124292,0
558,15563295631573,15563311239782,15563455095979,143.856197,159.464406,0
559,15563911902005,15563927579510,15564095835438,168.255928,183.933433,0
560,15564529944456,15564545924868,15564680066173,134.141305,150.121717,0
561,15565148675740,15565164012949,15565305283090,141.270141,156.60735,0
562,15565765388339,15565781634345,15565942250511,160.616166,176.862172,0
563,15566384918866,15566407720447,15566557987703,150.267256,173.068837,0
564,15567002769614,15567018531823,15567142391402,123.859579,139.621788,0
565,15567619902862,15567635881330,15567772930192,137.048862,153.02733,0
566,15568237267703,15568254505746,15568398184943,143.679197,160.91724,0
567,15568855009729,15568870425698,15568991519406,121.093708,136.509677,0
568,15569473790183,15569489353836,15569624534827,135.180991,150.744644,0
569,15570091255246,15570107807734,15570274548624,166.74089,183.293378,0
570,15570709232663,15570724917687,15570853469879,128.552192,144.237216,0
571,15571326356653,15571342250696,15571502191640,159.940944,175.834987,0
572,15571944544829,15571962254150,15572133690746,171.436596,189.145917,0
573,15572562182116,15572581161290,15572723236635,142.075345,161.054519,0
574,15573181072293,15573196887595,15573366637246,169.749651,185.564953,0
575,15573798251562,15573813849253,15573959023525,145.174272,160.771963,0
576,15574415959757,15574431698467,15574590400707,158.70224,174.44095,0
577,15575033409675,15575052690385,15575184418450,131.728065,151.008775,0
578,15575652806742,15575671824563,15575808058148,136.233585,155.251406,0
