reference,feature,min,max,p05,p95,plate_inside_minmax,plate_inside_p05_p95,plate_N
earlier_independent_normals,y_rms_mg,10.283823765992882,16.201469524277538,11.18312075892794,14.253544095315855,194,191.0,194
earlier_independent_normals,z_rms_mg,23.48585324688832,43.78536416697222,26.38902328915679,38.83639652401092,194,193.0,194
earlier_independent_normals,rms,0.9483946375393304,1.5140762851335872,1.0067158035507195,1.3178116486072096,194,192.0,194
earlier_independent_normals,isolation_forest,0.4335190400564221,0.5370910068721021,0.4444963605403119,0.5023581779151888,194,188.0,194
earlier_independent_normals,tflite_autoencoder,0.283925435609824,1.1239590982160117,0.3297254851272403,0.46307455382278007,194,158.0,194
earlier_independent_normals,x_ae_mse,0.3474580847056643,1.9515467857870816,0.4564330778633778,0.7381299913920429,194,176.0,194
earlier_independent_normals,y_ae_mse,0.2548003191267036,1.121580926949008,0.3300347642606366,0.5388022186335926,194,159.0,194
earlier_independent_normals,z_ae_mse,0.1081012970457209,0.2987495819119452,0.13015765074312427,0.21916945974196975,193,172.0,194
earlier_independent_normals,standard_high_fraction,0.0638300789226655,0.2637887117566512,0.11093087111751772,0.2217506784074301,194,163.0,194
earlier_independent_normals,all_features_axis_aligned_box_NOT_joint_support,,,,,193,,194
all_preexisting_normal_sources,physical_vector_ac_rms_mg,25.771231718281204,48.27557824695759,27.37123209132301,40.83657579088425,194,185.0,194
all_preexisting_normal_sources,x_rms_mg,7.741161440270818,18.19673236395991,8.644999565361088,11.862554672706242,194,186.0,194
all_preexisting_normal_sources,y_rms_mg,9.32463227638729,16.201469524277538,10.433887587522971,13.635746114692777,194,181.0,194
all_preexisting_normal_sources,z_rms_mg,21.566516482239564,43.78536416697222,23.49631648502463,36.97117437937705,194,184.0,194
all_preexisting_normal_sources,rms,0.8771576389145032,1.5140762851335872,0.931500809095702,1.2653808183848276,194,186.0,194
all_preexisting_normal_sources,isolation_forest,0.4176891900483625,0.5370910068721021,0.436277203202592,0.49594481540247665,194,180.0,194
all_preexisting_normal_sources,tflite_autoencoder,0.2760255926575153,1.1239590982160117,0.3302770168593739,0.47288455772429583,194,167.0,194
all_preexisting_normal_sources,x_ae_mse,0.3474580847056643,1.9515467857870816,0.45649674996302464,0.7560410127593286,194,181.0,194
all_preexisting_normal_sources,y_ae_mse,0.2548003191267036,1.121580926949008,0.33121298253912484,0.5394890826830318,194,159.0,194
all_preexisting_normal_sources,z_ae_mse,0.0937552384707842,0.2987495819119452,0.12952536690383334,0.21772882100604377,194,173.0,194
all_preexisting_normal_sources,standard_high_fraction,0.0638300789226655,0.3088483328221043,0.11353723920898136,0.2435378433409289,194,158.0,194
all_preexisting_normal_sources,all_features_axis_aligned_box_NOT_joint_support,,,,,194,,194
