recording,method,window,source_window_start_ns,source_window_complete_ns,source_complete_elapsed_s,phase,score,threshold,prediction
autoencoder_awaiting_call_03,rms,148,5961535254396,5962147564713,91.411277706,post_cue,0.41888216902307435,1.296361072562011,0
autoencoder_awaiting_call_03,rms,149,5962152223661,5962765446479,92.029159472,post_cue,0.41730234171054653,1.296361072562011,0
autoencoder_awaiting_call_03,rms,150,5962769893260,5963382923800,92.646636793,post_cue,0.4185729156239051,1.296361072562011,0
autoencoder_awaiting_call_03,rms,151,5963387229470,5964000769066,93.264482059,post_cue,0.4367575236894446,1.296361072562011,0
autoencoder_awaiting_call_03,rms,152,5964005200569,5964617599479,93.881312472,post_cue,0.4259337767396658,1.296361072562011,0
autoencoder_awaiting_call_03,rms,153,5964621989704,5965234925430,94.498638423,post_cue,0.4093144004643331,1.296361072562011,0
autoencoder_awaiting_call_03,rms,154,5965240998471,5965852397344,95.116110337,post_cue,0.4288575927823325,1.296361072562011,0
autoencoder_awaiting_call_03,rms,155,5965856980884,5966470659981,95.734372974,post_cue,0.4279333623725226,1.296361072562011,0
autoencoder_awaiting_call_03,rms,156,5966475100058,5967087801858,96.351514851,post_cue,0.4185505272186742,1.296361072562011,0
autoencoder_awaiting_call_03,rms,157,5967092430824,5967706567958,96.970280951,post_cue,0.43008692240109747,1.296361072562011,0
autoencoder_awaiting_call_03,rms,158,5967711249184,5968323678965,97.587391958,post_cue,0.4186934330187329,1.296361072562011,0
autoencoder_awaiting_call_03,rms,159,5968328392561,5968941172306,98.204885299,post_cue,0.43342446946417496,1.296361072562011,0
autoencoder_awaiting_call_03,rms,160,5968945606975,5969559386832,98.823099825,post_cue,0.43028048855988477,1.296361072562011,0
autoencoder_awaiting_call_03,rms,161,5969564064465,5970177016043,99.440729036,post_cue,0.4302428688649516,1.296361072562011,0
autoencoder_awaiting_call_03,rms,162,5970181686157,5970793216661,100.056929654,post_cue,0.4450719411921291,1.296361072562011,0
autoencoder_awaiting_call_03,rms,163,5970798508960,5971411035798,100.674748791,post_cue,0.4201432384497975,1.296361072562011,0
autoencoder_awaiting_call_03,rms,164,5971415509875,5972028945028,101.292658021,post_cue,0.4258584985221289,1.296361072562011,0
autoencoder_awaiting_call_03,rms,165,5972033524309,5972646318406,101.910031399,post_cue,0.4175337445471906,1.296361072562011,0
autoencoder_awaiting_call_03,rms,166,5972650820835,5973263677414,102.527390407,post_cue,0.41904450154787415,1.296361072562011,0
autoencoder_awaiting_call_03,rms,167,5973270352307,5973882866497,103.14657949,post_cue,0.422532269333093,1.296361072562011,0
autoencoder_awaiting_call_03,rms,168,5973887592648,5974498830097,103.76254309,post_cue,0.40175472417126185,1.296361072562011,0
autoencoder_awaiting_call_03,rms,169,5974505147619,5975116989309,104.380702302,post_cue,0.4106932401804309,1.296361072562011,0
autoencoder_awaiting_call_03,rms,170,5975121486127,5975735987966,104.999700959,post_cue,0.42567883229115294,1.296361072562011,0
