window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
161,6512076306707,6512686058111,6512717208581,99.476789463,0.3758263258805314,0.4833547401595273,0,,30.37632,31.15047,16.11992894418765,175226880,173932544,57.85,1700000.0,0
162,6512695534908,6513305620533,6513331827364,100.091408246,0.3718820496310032,0.4833547401595273,0,,25.450774,26.206831,14.643339668214244,175226880,173932544,56.75,1700000.0,0
163,6513310037949,6513921349188,6513948226298,100.70780718,0.3740760321367581,0.4833547401595273,0,,26.230405,26.87711,14.600949977720525,175226880,173932544,57.3,1700000.0,0
164,6513926450013,6514540532608,6514566878921,101.326459803,0.37724558161731775,0.4833547401595273,0,,25.752719,26.346313,12.931271126418888,175226880,173932544,56.75,1700000.0,0
165,6514546213360,6515158478766,6515178645844,101.938226726,0.3775075216861834,0.4833547401595273,0,,19.44741,20.167078,13.076938229809846,175226880,173932544,58.4,2400000.0,0
166,6515162077958,6515774964420,6515794722497,102.554303379,0.3771272687375758,0.4833547401595273,0,,19.026298,19.758077,12.985283541181309,175226880,173932544,57.85,2400000.0,0
167,6515780883969,6516392079574,6516411197021,103.170777903,0.37599437313455325,0.4833547401595273,0,,18.457112,19.117447,11.355008382178426,175226880,173932544,57.85,2400000.0,0
168,6516397940420,6517010232842,6517030139900,103.789720782,0.377367633754914,0.4833547401595273,0,,19.323576,19.907058,11.309561841783198,175226880,173932544,58.4,2400000.0,0
169,6517016213946,6517627474088,6517646862942,104.406443824,0.3716953091078159,0.4833547401595273,0,,18.772668,19.388854,12.97180190674753,175226880,173932544,57.3,2400000.0,0
170,6517634534435,6518245207223,6518264934429,105.024515311,0.3781791254064715,0.4833547401595273,0,,19.022668,19.727206,12.943453223997798,175226880,173932544,57.85,2400000.0,0
171,6518251388865,6518864504898,6518883270935,105.642851817,0.37668238544048344,0.4833547401595273,0,,17.967054,18.766037,11.320743756311197,175226880,173932544,57.85,2400000.0,0
172,6518868695462,6519481403659,6519501121662,106.260702544,0.3752684974237914,0.4833547401595273,0,,19.164539,19.718003,11.329619842175376,175226880,173932544,56.75,2400000.0,0
173,6519486647355,6520098504661,6520124778936,106.884359818,0.3760791797462734,0.4833547401595273,0,,25.658422,26.274275,14.430736892357816,175226880,173932544,57.3,1800000.0,0
174,6520107144216,6520716950480,6520747832894,107.507413776,0.373881042981241,0.4833547401595273,0,,30.080653,30.882414,14.44516318404525,175226880,173932544,57.85,1700000.0,0
175,6520721462378,6521333941740,6521364081615,108.123662497,0.376937983215437,0.4833547401595273,0,,28.639946,30.139875,16.227178131147205,175226880,173932544,58.4,1800000.0,0
176,6521339643140,6521952645891,6521980654003,108.740234885,0.37390494730770446,0.4833547401595273,0,,27.301536,28.008112,12.974904031459536,175226880,173932544,55.65,1700000.0,0
177,6521957284419,6522569178038,6522592923956,109.352504838,0.3754889171252573,0.4833547401595273,0,,23.088621,23.745918,14.699599427086122,175226880,173932544,57.3,1900000.0,0
178,6522576248626,6523186750704,6523211855106,109.971435988,0.3830005732439614,0.4833547401595273,0,,24.328197,25.104402,14.541122947624935,175226880,173932544,57.3,1700000.0,0
179,6523194064867,6523805529187,6523831445313,110.591026195,0.37518949565989757,0.4833547401595273,0,,25.113532,25.916126,12.911733680975562,175226880,173932544,56.75,1700000.0,0
180,6523809827177,6524421749386,6524450525629,111.210106511,0.37651609078273357,0.4833547401595273,0,,28.197075,28.776243,14.53771324545851,175226880,173932544,57.3,1700000.0,0
181,6524427546527,6525039255272,6525071325558,111.83090644,0.37790480364339446,0.4833547401595273,0,,30.639042,32.070286,16.108227624730844,175226880,173932544,57.85,1700000.0,0
182,6525047529974,6525657674882,6525684073638,112.44365452,0.36960395806383595,0.4833547401595273,0,,25.665959,26.398756,13.05588952293361,175226880,173932544,58.4,1700000.0,0
183,6525667298882,6526276269879,6526302460950,113.062041832,0.37354541757691717,0.4833547401595273,0,,25.319458,26.191071,14.554064412410845,175226880,173932544,56.2,1700000.0,0
184,6526281385538,6526893227855,6526919669501,113.679250383,0.37134144296745797,0.4833547401595273,0,,25.864034,26.441646,14.581792962679819,175226880,173932544,57.85,1700000.0,0
185,6526897863068,6527510593127,6527548672888,114.30825377,0.37211897848602316,0.4833547401595273,0,,37.253074,38.079761,15.898128127213779,175226880,173932544,56.75,1600000.0,0
186,6527521162019,6528128365084,6528155992788,114.91557367,0.3752829949414458,0.4833547401595273,0,,26.830184,27.627704,13.172015353946561,175226880,173932544,57.85,1700000.0,0
187,6528132688556,6528746797190,6528775632433,115.535213315,0.3733926816052435,0.4833547401595273,0,,28.020852,28.835243,16.138945136577675,175226880,173932544,57.3,1700000.0,0
188,6528750978569,6529364020182,6529391969201,116.151550083,0.3689549723308433,0.4833547401595273,0,,26.960036,27.949019,12.980021391207814,175226880,173932544,56.75,1800000.0,0
189,6529368746321,6529981443210,6530008253449,116.767834331,0.38185244375747124,0.4833547401595273,0,,26.177126,26.810239,14.603486736590318,175226880,173932544,56.2,1700000.0,0
190,6529987533963,6530599636407,6530626384775,117.385965657,0.3732420212959607,0.4833547401595273,0,,25.9572,26.748368,14.560177679480805,175226880,173932544,57.85,1700000.0,0
191,6530606374494,6531216277617,6531242878467,118.002459349,0.3769703656959973,0.4833547401595273,0,,25.818848,26.60085,12.976710742639,175226880,173932544,57.85,1700000.0,0
192,6531225350543,6531834611312,6531860591475,118.620172357,0.3739680784983981,0.4833547401595273,0,,25.047383,25.980163,14.569857142949939,175226880,173932544,57.85,1700000.0,0
193,6531839258729,6532452103523,6532479415874,119.238996756,0.37192685175289664,0.4833547401595273,0,,26.672609,27.312351,14.543730616848201,175226880,173932544,56.75,1700000.0,0
194,6532457554219,6533070226216,6533098211457,119.857792339,0.36990525190686396,0.4833547401595273,0,,27.383388,27.985241,14.54432080534744,175226880,173932544,56.75,1800000.0,0
195,6533075001115,6533687669185,6533715773686,120.475354568,0.3726877501888968,0.4833547401595273,0,,27.213518,28.104501,14.573202039905155,175226880,173932544,57.85,1700000.0,0
196,6533691962064,6534303884021,6534330197147,121.089778029,0.37588566755707664,0.4833547401595273,0,,25.641865,26.313126,14.648178796574154,175226880,173932544,56.2,1700000.0,0
