window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
44,5780081906962,5780693399836,5780694432003,27.18443421,0.1776955750191481,0.47720259914362284,0,,0.392112,1.032167,14.610789177526392,51118080,143179776,57.3,2400000.0,0
45,5780699953247,5781312494695,5781313680437,27.803682644,2.7626010223431443,0.47720259914362284,1,,0.505964,1.185742,11.303906028710442,51118080,143179776,56.2,2400000.0,0
46,5781317096865,5781930463906,5781932325055,28.422327262,2.980539375414125,0.47720259914362284,1,,0.567019,1.861149,8.08219959067066,51118080,143179776,56.2,2400000.0,0
47,5781934999427,5782548057061,5782549001376,29.039003583,0.17388615900197438,0.47720259914362284,0,,0.436666,0.944315,9.729681412657339,51118080,143179776,55.1,2400000.0,0
48,5782552488545,5783165258790,5783166352161,29.656354368,0.1857704132374652,0.47720259914362284,0,,0.429407,1.093371,11.33872948220478,51118080,143179776,56.75,2400000.0,0
49,5783169678348,5783782009278,5783783138890,30.273141097,1.7902634670620199,0.47720259914362284,1,,0.425167,1.129612,9.727837512837812,51118080,143179776,56.75,2400000.0,0
50,5783786475855,5784399683879,5784400235360,30.890237567,4.364280045925018,0.47720259914362284,1,,0.246852,0.551481,8.102484213231365,51118080,143179776,56.2,2400000.0,0
51,5784405791679,5785017914887,5785018823758,31.508825965,0.17580810958118084,0.47720259914362284,0,,0.447278,0.908871,9.699479742054487,51118080,143179776,56.2,2400000.0,0
52,5785022274760,5785636103561,5785637220377,32.127222584,0.18425486480386888,0.47720259914362284,0,,0.468093,1.116816,9.702494434509758,51118080,143179776,56.2,1700000.0,0
53,5785640658786,5786252101420,5786253345606,32.743347813,0.5151601915767164,0.47720259914362284,1,,0.47713,1.244186,9.738284101683524,51118080,143179776,56.2,1700000.0,0
54,5786258715035,5786869883854,5786870615207,33.360617414,4.700286869482397,0.47720259914362284,1,,0.340538,0.731353,11.340284049397301,51118080,143179776,55.1,1700000.0,0
55,5786874794913,5787487948289,5787488956382,33.978958589,0.9354481238160304,0.47720259914362284,1,,0.474186,1.008093,9.70335714841349,51118080,143179776,55.1,1700000.0,0
56,5787492502643,5788105256149,5788106449835,34.596452042,0.1856253636643234,0.47720259914362284,0,,0.481371,1.193686,12.955585848450841,51118080,143179776,56.75,2400000.0,0
57,5788109926318,5788722700527,5788723818102,35.213820309,0.18361248470948666,0.47720259914362284,0,,0.428648,1.117575,16.19779235689634,51118080,143179776,55.65,2400000.0,0
58,5788729054809,5789341949704,5789343159630,35.833161837,3.831709083964275,0.47720259914362284,1,,0.418426,1.209926,8.073103919366213,51118080,143179776,56.2,2400000.0,0
59,5789346498225,5789958086360,5789959044638,36.449046845,2.2296828926885985,0.47720259914362284,1,,0.444389,0.958278,11.365750559300956,51118080,143179776,56.75,2400000.0,0
60,5789962501585,5790575756035,5790576782110,37.066784317,0.18138225795765806,0.47720259914362284,0,,0.436852,1.026075,9.712842074211755,51118080,143179776,56.2,2400000.0,0
61,5790580105353,5791194553638,5791195686694,37.685688901,0.17080648948410423,0.47720259914362284,0,,0.438185,1.133056,8.07880255316946,51118080,143179776,56.2,2400000.0,0
62,5791199004437,5791810633665,5791812404647,38.302406854,1.6764104217313183,0.47720259914362284,1,,0.819334,1.770982,8.107364938833527,51118080,143179776,54.55,2400000.0,0
63,5791815387242,5792608657970,5792609107470,39.099109677,,0.47720259914362284,,ValueError: Ungültiges Sensorfenster,0.023444,0.4495,6.275913939004107,51118080,143179776,56.2,2400000.0,0
64,5792610898583,5793191375347,5793192579978,39.682582185,0.32232090450697487,0.47720259914362284,0,,0.351797,1.204631,11.997014313328805,51118080,143179776,54.55,1700000.0,0
65,5793196388461,5793808360875,5793809237857,40.299240064,0.19208556641801997,0.47720259914362284,0,,0.41363,0.876982,14.594936226550947,51118080,143179776,56.75,2400000.0,0
66,5793813214711,5794427364978,5794428345553,40.91834776,0.1745362743500267,0.47720259914362284,0,,0.46176,0.980575,8.076157675843826,51118080,143179776,55.1,2400000.0,0
67,5794431736888,5795043376784,5795044293229,41.534295436,0.1867291543951027,0.47720259914362284,0,,0.413464,0.916445,14.6116079006451,51118080,143179776,57.3,2400000.0,0
68,5795049561787,5795663068147,5795664199444,42.154201651,0.18838656431270642,0.47720259914362284,0,,0.451963,1.131297,9.678855978065863,51118080,143179776,56.2,2400000.0,0
69,5795667532279,5796280374120,5796281458158,42.771460365,0.19735188914347587,0.47720259914362284,0,,0.49239,1.084038,8.100329226214287,51118080,143179776,56.2,2400000.0,0
70,5796284971549,5796896569741,5796897523186,43.387525393,0.19735578896393788,0.47720259914362284,0,,0.422556,0.953445,9.739265876642325,51118080,143179776,55.1,2400000.0,0
71,5796902941541,5797515502252,5797516640771,44.006642978,0.1817650200023214,0.47720259914362284,0,,0.429074,1.138519,9.691206268073072,51118080,143179776,55.65,2400000.0,0
72,5797519958625,5798132461521,5798133812782,44.623814989,0.20838411992967076,0.47720259914362284,0,,0.50489,1.351261,11.342047953759232,51118080,143179776,56.75,2400000.0,0
73,5798137328358,5798749927254,5798752699164,45.242701371,0.18072772580667854,0.47720259914362284,0,,0.474519,2.77191,12.92633931036458,51118080,143179776,57.85,2400000.0,0
74,5798754263646,5799368219210,5799369102859,45.859105066,0.17673848657519167,0.47720259914362284,0,,0.417037,0.883649,12.978626455659155,51118080,143179776,56.75,2400000.0,0
75,5799372518546,5799987062185,5799987914834,46.477917041,0.1581830119884561,0.47720259914362284,0,,0.435593,0.852649,8.080008933639572,51118080,143179776,55.65,2400000.0,0
76,5799991336984,5800602781029,5800603702899,47.093705106,0.17684695917351326,0.47720259914362284,0,,0.428444,0.92187,9.743614074312871,51118080,143179776,56.75,2400000.0,0
77,5800609095069,5801221401633,5801222495893,47.7124981,0.17974759930596917,0.47720259914362284,0,,0.450982,1.09426,9.69630116540691,51118080,143179776,55.65,2400000.0,0
78,5801225893988,5801837931311,5801838847941,48.328850148,0.17175440602292916,0.47720259914362284,0,,0.399315,0.91663,11.357138181590914,51118080,143179776,57.3,2400000.0,0
79,5801844297648,5802456117397,5802458658269,48.948660476,0.19166207480538758,0.47720259914362284,0,,0.739464,2.540872,11.293602151634598,51118080,143179776,56.75,2400000.0,0
80,5802460439622,5803073270631,5803074282631,49.564284838,0.16708127520405883,0.47720259914362284,0,,0.4195,1.012,9.746354265316137,51118080,143179776,57.3,2400000.0,0
81,5803079608653,5803692218273,5803693654144,50.183656351,0.16496020201181238,0.47720259914362284,0,,0.466722,1.435871,9.687218929894716,51118080,143179776,56.2,1800000.0,0
82,5803697186091,5804310186471,5804311285879,50.801288086,0.18281450218373627,0.47720259914362284,0,,0.362834,1.099408,11.326923066180633,51118080,143179776,56.75,1700000.0,0
83,5804313706325,5804927462372,5804928656613,51.41865882,0.18344729311906835,0.47720259914362284,0,,0.486685,1.194241,11.345134475226146,51118080,143179776,57.3,1800000.0,0
84,5804932098856,5805544106309,5805545309903,52.03531211,0.20098631893745633,0.47720259914362284,0,,0.451741,1.203594,9.729918290285383,51118080,143179776,55.65,1800000.0,0
85,5805548661997,5806162329155,5806164539546,52.654541753,0.17600918032041868,0.47720259914362284,0,,0.647853,2.210391,12.919127856741088,51118080,143179776,56.75,1800000.0,0
86,5806167702640,5806779942576,5806781659466,53.271661673,0.17738531101307084,0.47720259914362284,0,,0.293408,1.71689,11.34315850066773,51118080,143179776,56.75,2400000.0,0
87,5806785161190,5807397287033,5807399668497,53.889670704,0.1694432243578691,0.47720259914362284,0,,0.420167,2.381464,9.708622743059246,51118080,143179776,56.2,2400000.0,0
88,5807403031184,5808015300342,5808016664806,54.506667013,0.177344661943585,0.47720259914362284,0,,0.483778,1.364464,12.966001056102737,51118080,143179776,58.4,2400000.0,0
89,5808020144734,5808633238726,5808634054356,55.124056563,0.1720021118978311,0.47720259914362284,0,,0.383074,0.81563,11.338104259655776,51118080,143179776,57.3,2400000.0,0
