frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
25.88635462567221,25.0,3.4117965867088526e-07,4.186496223504489e-07,1.2107991546208627e-06,1.970628435642197e-06
26.088591771185275,25.1953125,5.733298751663193e-07,5.61611706271716e-07,1.1508530038102473e-06,2.2857945852482827e-06
26.29082891669834,25.390625000000004,6.990806982167887e-07,8.749891451762583e-07,8.467058689526782e-07,2.420775712345725e-06
26.493066062211405,25.5859375,4.0741612114134867e-07,7.817858549045733e-07,5.851123641756332e-07,1.774314340221555e-06
26.695303207724468,25.78125,3.9619431330841336e-07,7.76040678999478e-07,1.2443654852502192e-06,2.4166004775581107e-06
26.89754035323753,25.9765625,3.7339034933705916e-07,5.688716527879124e-07,1.3005952496991057e-06,2.2428572518240773e-06
27.099777498750598,26.171875000000004,4.3478008171308793e-07,3.6054239830412876e-07,6.451085868698688e-07,1.4404310668870854e-06
27.30201464426366,26.367187499999996,5.713081292574462e-07,3.8576555708620664e-07,8.868193070103253e-07,1.8438929933539782e-06
27.504251789776724,26.562499999999996,3.7919420798679964e-07,5.508739452994351e-07,1.1299183913462257e-06,2.05998654463246e-06
27.70648893528979,26.7578125,3.54621240911712e-07,6.795320195332491e-07,1.3274856032766587e-06,2.36163886372162e-06
27.908726080802854,26.953125,4.4079270021283457e-07,5.254040322360499e-07,1.4237679271728716e-06,2.389964659621756e-06
28.110963226315917,27.1484375,3.0583487005702333e-07,4.3839514922928397e-07,7.275812558202868e-07,1.471811275106594e-06
28.31320037182898,27.34375,2.808118458288788e-07,3.8695016305273523e-07,6.016707475693554e-07,1.2694327564509695e-06
28.515437517342047,27.539062500000004,2.0289740419752025e-07,4.797168686543308e-07,3.8613824739853354e-07,1.0687525202503846e-06
28.71767466285511,27.734375,4.274741129423822e-07,6.136838005595095e-07,6.957534955500673e-07,1.7369114090519587e-06
28.919911808368173,27.9296875,4.6188943761782036e-07,5.007842573426874e-07,5.701288162275947e-07,1.5328025111881026e-06
29.122148953881236,28.125,3.926669386849114e-07,3.691079267549816e-07,5.26682960748562e-07,1.288457826188455e-06
29.324386099394303,28.320312500000004,3.837815003704929e-07,4.605912801578835e-07,7.651066442398349e-07,1.6094794247682114e-06
29.526623244907366,28.515624999999996,3.7028741558249943e-07,3.880408010718087e-07,1.274999871138381e-06,2.033328087792689e-06
29.72886039042043,28.710937499999996,2.6590779874054755e-07,5.218310270087434e-07,7.693205957296593e-07,1.5570594214789503e-06
29.931097535933496,28.90625,2.4322218265493504e-07,6.554680806218781e-07,7.878569584017246e-07,1.6865472216785377e-06
30.13333468144656,29.1015625,5.16914554868049e-07,5.284468887022221e-07,1.131132297000914e-06,2.176493740571185e-06
30.335571826959622,29.296875,3.2947681640497106e-07,4.4903471378608325e-07,1.1290410277005329e-06,1.9075525578915872e-06
30.537808972472686,29.492187499999996,2.5376449287909156e-07,4.2036738563912346e-07,1.4996792186184514e-06,2.1738110971366664e-06
30.740046117985752,29.6875,2.2304504132031137e-07,4.604313123557945e-07,1.013941653570977e-06,1.697418007247083e-06
30.942283263498815,29.8828125,3.63847053645343e-07,4.457889071175911e-07,9.452981834907546e-07,1.7549341442536886e-06
31.14452040901188,30.078125,6.56464524192486e-07,5.437724014035687e-07,1.3385955970489058e-06,2.5388325226449603e-06
31.346757554524945,30.273437500000004,4.3908955349111337e-07,4.712858146788159e-07,1.0961092921758457e-06,2.006484660345775e-06
31.54899470003801,30.468750000000004,3.327500311751043e-07,3.0427030261766695e-07,8.401434774707603e-07,1.4771638112635316e-06
31.75123184555107,30.664062499999996,3.254979608951191e-07,5.090153485688151e-07,8.092211546238724e-07,1.6437344640878065e-06
31.953468991064135,30.859374999999996,4.447570023454856e-07,5.892444376330069e-07,7.063473805434727e-07,1.7403488205219652e-06
32.1557061365772,31.0546875,4.3108947066851627e-07,7.055655102057282e-07,7.853488962750962e-07,1.9220038771493408e-06
32.35794328209026,31.249999999999996,4.43133130616977e-07,5.872668445229579e-07,1.378440682978249e-06,2.4088406581181836e-06
32.56018042760333,31.4453125,4.209639610875682e-07,4.290553224757835e-07,1.006741006465027e-06,1.8567602900283787e-06
32.762417573116394,31.640625000000004,2.8505597921133473e-07,5.827471330049306e-07,8.979571350331087e-07,1.7657602472493741e-06
