frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
23.875264189208075,23.046875,5.118528619226646e-07,4.531827735895752e-07,1.0003900783387465e-06,1.9654257138509863e-06
24.077596936574245,23.2421875,5.874045090317622e-07,4.5265973642288154e-07,8.886136340025793e-07,1.928677879457223e-06
24.279929683940416,23.437500000000004,5.039331471932935e-07,3.85576620840963e-07,8.51302132082971e-07,1.7408119001172276e-06
24.482262431306587,23.6328125,5.004764584653414e-07,3.955762892971969e-07,9.379754290035131e-07,1.8340281767660514e-06
24.684595178672755,23.828124999999996,3.9748372261745895e-07,4.94358265910325e-07,1.1721258037976055e-06,2.0639677923253895e-06
24.886927926038926,24.0234375,3.9546833208501317e-07,4.593100988890262e-07,8.291924348455499e-07,1.6839708658195893e-06
25.089260673405096,24.21875,4.730137803252687e-07,4.1262219188365744e-07,5.494110107823017e-07,1.4350469829912278e-06
25.291593420771267,24.414062500000004,5.348360247556786e-07,4.6271037994464226e-07,7.409530897584021e-07,1.738499494458723e-06
25.493926168137435,24.609375,5.121980863338533e-07,4.890267447486092e-07,7.540713483082559e-07,1.7552961793907183e-06
25.696258915503606,24.804687499999996,5.310479660388961e-07,4.3372045223895694e-07,9.951741182316143e-07,1.9599425365094672e-06
25.898591662869777,25.0,5.63697042874525e-07,4.417036211358959e-07,9.343063932611026e-07,1.9397070572715235e-06
26.100924410235947,25.1953125,5.56905471824391e-07,4.1299947983150707e-07,9.313945835203611e-07,1.901299535176259e-06
26.30325715760212,25.390625000000004,5.34257108307484e-07,4.282627384246147e-07,8.24478223301288e-07,1.7869980700333866e-06
26.505589904968286,25.5859375,4.84631824479327e-07,4.1295994790305256e-07,7.473698924478552e-07,1.6449616648302348e-06
26.707922652334457,25.781249999999996,4.0248591589600347e-07,4.5085209801864307e-07,7.846544865442506e-07,1.6379925004588972e-06
26.910255399700628,25.9765625,3.7459449145655294e-07,3.7375523200265904e-07,8.794188798239417e-07,1.6277686032831538e-06
27.1125881470668,26.171875,5.30279077839526e-07,3.650103495359306e-07,8.703460412525523e-07,1.7656354686280089e-06
27.314920894432966,26.3671875,4.820905847080551e-07,4.803343566159807e-07,8.451403691237332e-07,1.8075653104477692e-06
27.517253641799137,26.5625,4.025911914044446e-07,3.973356174837102e-07,9.037572414651474e-07,1.7036840503533024e-06
27.719586389165308,26.7578125,3.392304754253013e-07,4.26607472108828e-07,1.0073894080036634e-06,1.7732273555377927e-06
27.92191913653148,26.953125,3.2472787405636553e-07,4.4583579839561863e-07,9.98122798778586e-07,1.7686864712305703e-06
28.12425188389765,27.148437500000004,4.109580964904152e-07,5.553022326527795e-07,9.970788707078074e-07,1.963339199851002e-06
28.326584631263817,27.34375,4.721855706855808e-07,5.344300622783852e-07,1.0595291432896642e-06,2.0661447762536303e-06
28.528917378629988,27.5390625,4.506743013122728e-07,4.681606170136158e-07,8.51780318358355e-07,1.7706152366842436e-06
