phase,start_s,end_s,xyz_points,vector_ac_rms_mg,hann_psd_rms_mg,largest_psd_bin_hz,band_0_power_g2,band_0_fraction,band_1_power_g2,band_1_fraction,band_2_power_g2,band_2_fraction,band_3_power_g2,band_3_fraction,band_4_power_g2,band_4_fraction
airflow_modified,190,195,1036,35.019458008455246,35.097169827768965,39.39693128762575,1.9436155323824984e-05,0.01577858493067927,4.6883092649807956e-05,0.038060452124557276,0.0010676092634509472,0.8667024499177334,5.4859216134859465e-05,0.044535598043575556,4.301825562692823e-05,0.0349229149834546
airflow_modified,195,200,1036,35.38142070941851,35.50652424725514,39.39693128762575,2.1525336238107233e-05,0.0170751476376374,4.322022233344064e-05,0.0342847920753272,0.001094968912844323,0.8685929752093934,5.777122070703756e-05,0.045827489608865776,4.3138033944363304e-05,0.034219595468776134
airflow_modified,200,205,1036,35.564838564954506,35.295933951230204,39.39693128762575,2.1416981430309647e-05,0.017192710013440977,4.748369047764851e-05,0.03811803840829106,0.001082133706961753,0.86869436199975,5.497644079253716e-05,0.04413292354913962,3.9690492903728746e-05,0.03186196602937799
airflow_modified,205,210,1036,36.2772955050304,35.92615410601458,39.39693128762575,2.0918658936829826e-05,0.01620762108058624,4.681863539088425e-05,0.0362747298580209,0.00112301748916303,0.8701055830677519,5.963315748407556e-05,0.04620332609559219,4.028012393240762e-05,0.031208739898048798
airflow_modified,210,215,1036,36.81663599673948,36.69918997569905,39.39693128762575,2.2172620252280452e-05,0.016464558152419706,4.792474561364443e-05,0.035587122862243366,0.0011710214630141064,0.8695567215852341,6.348653145889829e-05,0.04714272274576782,4.208247950582586e-05,0.03124887465433495
airflow_modified,215,220,1036,36.71501793622552,36.761575852925525,39.39693128762575,2.6873065328950306e-05,0.01988687332430615,4.237601544342807e-05,0.03135952079885831,0.0011824789675768132,0.875069857085595,5.7887785155519875e-05,0.04283869503983531,4.1680817844974314e-05,0.030845053751404748
airflow_modified,220,225,1036,36.333697914046816,36.75240988065702,39.39693128762575,1.729353815752488e-05,0.01280336138197968,3.732225896612548e-05,0.0276317295386549,0.0012072763578585184,0.8938133629327321,5.2353097333641606e-05,0.03875988930217307,3.645771088141514e-05,0.026991656844460254
airflow_modified,225,230,1036,37.14243304307602,37.23944534372005,39.39693128762575,1.8987505983130147e-05,0.013692806089780614,4.144855200468435e-05,0.029890549385821367,0.0012174580334093472,0.8779676903712906,6.180384308326435e-05,0.04456973125876839,4.697955577492382e-05,0.03387922289433917
airflow_modified,230,235,1036,37.038662755080246,36.9463285593524,39.39693128762575,2.615337170691308e-05,0.0191615505074052,3.7995152976685875e-05,0.027837559568157328,0.0012026131986527244,0.8811075606272645,5.241690122124951e-05,0.03840380932326034,4.57094463115258e-05,0.03348951997391266
airflow_modified,235,240,1036,37.141088855565265,37.208144568792584,39.39693128762575,2.4071084232144656e-05,0.017387157916178626,4.3471278160045423e-05,0.03140041266514623,0.0012192391481215278,0.8806875253947518,6.228217069107595e-05,0.04498799998888317,3.535373469425226e-05,0.02553690403504019
airflow_modified,240,245,1036,36.8090931862981,37.00704792819504,39.39693128762575,2.399452926355197e-05,0.017521953110039033,4.312905191710588e-05,0.03149489690218242,0.001204713740767466,0.8797396041776923,5.4681435747013735e-05,0.03993100021362758,4.2879340385865355e-05,0.031312545596458796
