timestamp,window_start_timestamp,window_index,reconstruction_error,threshold,predicted_label,anomaly_counter,consecutive_anomalies_required,confirmed_anomaly,startup_grace_active,inference_time_ms,window_formation_time_ms,total_window_pipeline_time_ms,measured_sampling_rate_hz,fan_action,dry_run
2026-08-23T16:20:39.891+02:00,2026-08-23T16:20:39.634+02:00,47,0.008213717767417528,0.08138438331902553,0,0,3,0,0,0.170537,256.081288,256.962362,499.9554409852078,none,1
2026-08-23T16:20:40.148+02:00,2026-08-23T16:20:39.891+02:00,48,0.009704371071736754,0.08138438331902553,0,0,3,0,0,0.162297,256.08801,256.914121,500.0054862738622,none,1
2026-08-23T16:20:40.405+02:00,2026-08-23T16:20:40.148+02:00,49,0.010296233831606383,0.08138438331902553,0,0,3,0,0,0.163426,256.082565,256.917565,499.97413913805093,none,1
2026-08-23T16:20:40.662+02:00,2026-08-23T16:20:40.405+02:00,50,0.00977437559131733,0.08138438331902553,0,0,3,0,0,0.13824,256.080454,256.805436,499.9672127805811,none,1
2026-08-23T16:20:40.919+02:00,2026-08-23T16:20:40.662+02:00,51,0.008713671351419094,0.08138438331902553,0,0,3,0,0,0.166667,256.082547,256.914566,499.954748189285,none,1
2026-08-23T16:20:41.176+02:00,2026-08-23T16:20:40.920+02:00,52,0.009625219303023498,0.08138438331902553,0,0,3,0,0,0.159704,256.082121,256.914529,499.9538723699068,none,1
2026-08-23T16:20:41.434+02:00,2026-08-23T16:20:41.177+02:00,53,0.009584739430336789,0.08138438331902553,0,0,3,0,0,0.158797,256.082454,256.912343,499.9372165477336,none,1
2026-08-23T16:20:41.691+02:00,2026-08-23T16:20:41.434+02:00,54,0.010262532148362221,0.08138438331902553,0,0,3,0,0,0.168166,256.087751,256.963807,499.9060570241777,none,1
2026-08-23T16:20:41.948+02:00,2026-08-23T16:20:41.691+02:00,55,0.011521767799618962,0.08138438331902553,0,0,3,0,0,0.125481,256.077047,256.727306,500.02943873786774,none,1
2026-08-23T16:20:42.204+02:00,2026-08-23T16:20:41.948+02:00,56,0.008729599291739816,0.08138438331902553,0,0,3,0,0,0.122833,256.072454,256.707751,499.96119986208504,none,1
2026-08-23T16:20:42.461+02:00,2026-08-23T16:20:42.205+02:00,57,0.008929908950262652,0.08138438331902553,0,0,3,0,0,0.127055,256.073102,256.728917,499.94549019189543,none,1
2026-08-23T16:20:42.719+02:00,2026-08-23T16:20:42.462+02:00,58,0.007478319900228412,0.08138438331902553,0,0,3,0,0,0.23013,256.092881,257.271511,499.9058385984821,none,1
2026-08-23T16:20:42.976+02:00,2026-08-23T16:20:42.719+02:00,59,0.010990445828621695,0.08138438331902553,0,0,3,0,0,0.124,256.08038,256.705436,500.00822060499297,none,1
2026-08-23T16:20:43.233+02:00,2026-08-23T16:20:42.976+02:00,60,0.00931386139760774,0.08138438331902553,0,0,3,0,0,0.120556,256.073455,256.666862,499.9407156867349,none,1
2026-08-23T16:20:43.489+02:00,2026-08-23T16:20:43.233+02:00,61,0.00987914090599166,0.08138438331902553,0,0,3,0,0,0.128722,256.07114,256.733566,499.9571532786862,none,1
2026-08-23T16:20:43.746+02:00,2026-08-23T16:20:43.490+02:00,62,0.006732660183665494,0.08138438331902553,0,0,3,0,0,0.126963,256.077028,256.734177,499.9582101832496,none,1
2026-08-23T16:20:44.003+02:00,2026-08-23T16:20:43.746+02:00,63,0.010775043881150878,0.08138438331902553,0,0,3,0,0,0.129889,256.07525,256.73251,499.9678682119889,none,1
2026-08-23T16:20:44.260+02:00,2026-08-23T16:20:44.003+02:00,64,0.008540972863993412,0.08138438331902553,0,0,3,0,0,0.119982,256.075121,256.711677,499.9696553820704,none,1
2026-08-23T16:20:44.517+02:00,2026-08-23T16:20:44.260+02:00,65,0.0108864480098023,0.08138438331902553,0,0,3,0,0,0.135722,256.074677,256.710788,499.955986162919,none,1
2026-08-23T16:20:44.774+02:00,2026-08-23T16:20:44.517+02:00,66,0.011691865347158603,0.08138438331902553,0,0,3,0,0,0.122555,256.072861,256.699565,499.95288830113856,none,1
2026-08-23T16:20:45.031+02:00,2026-08-23T16:20:44.774+02:00,67,0.010036909602036737,0.08138438331902553,0,0,3,0,0,0.142074,256.07225,256.736065,499.94884185228216,none,1
2026-08-23T16:20:45.288+02:00,2026-08-23T16:20:45.031+02:00,68,0.010320529932471345,0.08138438331902553,0,0,3,0,0,0.130944,256.074102,256.736251,499.97140321050733,none,1
2026-08-23T16:20:45.544+02:00,2026-08-23T16:20:45.288+02:00,69,0.009700164283616225,0.08138438331902553,0,0,3,0,0,0.128593,256.074417,256.719121,499.94709418158396,none,1
2026-08-23T16:20:45.801+02:00,2026-08-23T16:20:45.545+02:00,70,0.008864652260654693,0.08138438331902553,0,0,3,0,0,0.130426,256.075713,256.74551,499.9435201624537,none,1
2026-08-23T16:20:46.058+02:00,2026-08-23T16:20:45.801+02:00,71,0.008071832342421223,0.08138438331902553,0,0,3,0,0,0.127389,256.075324,256.714028,499.9629495933297,none,1
2026-08-23T16:20:46.315+02:00,2026-08-23T16:20:46.058+02:00,72,0.008342143191579185,0.08138438331902553,0,0,3,0,0,0.122815,256.074269,256.704751,499.9562046181189,none,1
2026-08-23T16:20:46.572+02:00,2026-08-23T16:20:46.315+02:00,73,0.010155848227930772,0.08138438331902553,0,0,3,0,0,0.12126,256.073658,256.695548,499.95591333740134,none,1
2026-08-23T16:20:46.829+02:00,2026-08-23T16:20:46.572+02:00,74,0.008080149699321448,0.08138438331902553,0,0,3,0,0,0.164741,256.091972,257.359806,499.9521600917417,none,1
2026-08-23T16:20:47.087+02:00,2026-08-23T16:20:46.830+02:00,75,0.0071145256414776635,0.08138438331902553,0,0,3,0,0,0.221333,256.107306,257.309473,500.02604860331274,none,1
2026-08-23T16:20:47.344+02:00,2026-08-23T16:20:47.087+02:00,76,0.008584232064989853,0.08138438331902553,0,0,3,0,0,0.128778,256.077232,256.732825,500.01212234561564,none,1
2026-08-23T16:20:47.601+02:00,2026-08-23T16:20:47.344+02:00,77,0.009221475731827114,0.08138438331902553,0,0,3,0,0,0.147907,256.075658,256.732325,499.94756848697097,none,1
2026-08-23T16:20:47.858+02:00,2026-08-23T16:20:47.601+02:00,78,0.011092117533795123,0.08138438331902553,0,0,3,0,0,0.128371,256.075066,256.730399,499.94312064828756,none,1
2026-08-23T16:20:48.115+02:00,2026-08-23T16:20:47.858+02:00,79,0.0099801807857276,0.08138438331902553,0,0,3,0,0,0.126945,256.074029,256.712399,499.96659278064095,none,1
2026-08-23T16:20:48.372+02:00,2026-08-23T16:20:48.115+02:00,80,0.009051869525099582,0.08138438331902553,0,0,3,0,0,0.125981,256.091769,257.010158,499.9562794127553,none,1
2026-08-23T16:20:48.629+02:00,2026-08-23T16:20:48.372+02:00,81,0.010735520446126655,0.08138438331902553,0,0,3,0,0,0.126481,256.074936,256.714843,499.93674422370884,none,1
2026-08-23T16:20:48.886+02:00,2026-08-23T16:20:48.629+02:00,82,0.011951138481860468,0.08138438331902553,0,0,3,0,0,0.121222,256.075992,256.708381,499.9477141260055,none,1
2026-08-23T16:20:49.142+02:00,2026-08-23T16:20:48.886+02:00,83,0.00925972683060298,0.08138438331902553,0,0,3,0,0,0.108463,256.07388,256.65775,499.94767476815963,none,1
2026-08-23T16:20:49.399+02:00,2026-08-23T16:20:49.142+02:00,84,0.011596593425170424,0.08138438331902553,0,0,3,0,0,0.124592,256.073047,256.721751,499.9526344067409,none,1
2026-08-23T16:20:49.656+02:00,2026-08-23T16:20:49.399+02:00,85,0.011146763463812307,0.08138438331902553,0,0,3,0,0,0.120038,256.072862,256.693733,499.94596450139886,none,1
2026-08-23T16:20:49.913+02:00,2026-08-23T16:20:49.656+02:00,86,0.010714034979965495,0.08138438331902553,0,0,3,0,0,0.138815,256.071992,256.683103,499.9537621480549,none,1
2026-08-23T16:20:50.170+02:00,2026-08-23T16:20:49.913+02:00,87,0.01055271108306314,0.08138438331902553,0,0,3,0,0,0.119463,256.074288,256.68927,499.95569487529593,none,1
2026-08-23T16:20:50.427+02:00,2026-08-23T16:20:50.170+02:00,88,0.009018013772700983,0.08138438331902553,0,0,3,0,0,0.121018,256.073213,256.690973,499.95354368782944,none,1
