iteration,source_window,processing_latency_ms
640,172,0.033666
641,173,0.03424
642,174,0.033704
643,175,0.033685
644,176,0.034
645,177,0.033834
646,178,0.033945
647,179,0.03413
648,180,0.033777
649,181,0.033759
650,182,0.033648
651,183,0.034204
652,184,0.033667
653,185,0.034112
654,186,0.033648
655,187,0.033815
656,188,0.033889
657,189,0.033814
658,190,0.033796
659,191,0.033741
660,192,0.033815
661,193,0.033889
662,194,0.034112
663,195,0.033815
664,196,0.033685
665,197,0.034111
666,198,0.033777
667,199,0.033777
668,200,0.033704
669,201,0.033741
670,202,0.033852
671,203,0.033926
672,204,0.033704
673,205,0.034778
674,206,0.034149
675,207,0.034463
676,208,0.033944
677,209,0.033944
678,210,0.034111
679,211,0.034278
680,212,0.033926
681,213,0.033945
682,214,0.033815
683,215,0.034037
684,216,0.034074
685,217,0.034407
686,218,0.034037
687,219,0.033889
688,220,0.033796
689,221,0.033963
690,222,0.034111
691,223,0.033778
692,224,0.03376
693,225,0.045963
694,226,0.038593
695,227,0.035278
696,228,0.034537
697,229,0.034167
698,230,0.034296
699,231,0.03387
700,232,0.033814
701,233,0.033851
702,234,0.033871
703,235,0.033778
704,236,0.033926
705,237,0.034204
706,238,0.033981
707,239,0.034425
708,240,0.034074
709,241,0.034352
710,242,0.034019
711,243,0.034148
712,244,0.033852
713,245,0.034
714,246,0.033945
715,247,0.034
716,248,0.034333
717,249,0.034389
718,250,0.034204
719,251,0.033926
720,252,0.034222
721,253,0.034204
722,254,0.034223
723,255,0.033759
724,256,0.033981
725,257,0.033926
726,258,0.03387
727,259,0.033926
728,260,0.033926
729,261,0.033981
730,262,0.033982
731,263,0.033667
732,264,0.033852
733,265,0.033981
734,266,0.033778
735,267,0.033925
736,268,0.033945
737,269,0.034
738,270,0.034019
739,271,0.033648
740,272,0.03387
741,273,0.034037
742,274,0.033944
743,275,0.03387
744,276,0.033667
745,277,0.033963
746,278,0.034297
747,279,0.033778
748,280,0.033796
749,281,0.034203
750,282,0.033834
751,283,0.033945
752,284,0.033926
753,285,0.03387
754,286,0.034074
755,287,0.033963
756,288,0.034204
757,289,0.03437
758,290,0.034074
759,291,0.033815
760,292,0.034018
761,293,0.034278
762,294,0.034
763,295,0.033926
764,296,0.034037
765,297,0.034037
766,298,0.034
767,299,0.033908
768,300,0.033926
769,301,0.034055
770,302,0.033963
771,303,0.033907
772,304,0.033908
773,305,0.034112
774,306,0.033796
775,307,0.033944
776,308,0.034018
777,309,0.034019
778,310,0.034093
779,311,0.033778
780,312,0.034315
781,313,0.034037
782,314,0.034166
