iteration,source_window,processing_latency_ms
522,54,0.05737
523,55,0.057074
524,56,0.058037
525,57,0.058241
526,58,0.057519
527,59,0.057519
528,60,0.05737
529,61,0.057278
530,62,0.057241
531,63,0.057444
532,64,0.057574
533,65,0.057463
534,66,0.057389
535,67,0.057426
536,68,0.057481
537,69,0.05737
538,70,0.057575
539,71,0.057018
540,72,0.057389
541,73,0.057519
542,74,0.057445
543,75,0.057722
544,76,0.057222
545,77,0.088926
546,78,0.096945
547,79,0.068278
548,80,0.06087
549,81,0.058444
550,82,0.058241
551,83,0.058722
552,84,0.057852
553,85,0.0575
554,86,0.058074
555,87,0.058018
556,88,0.058037
557,89,0.058
558,90,0.057537
559,91,0.05813
560,92,0.058204
561,93,0.057371
562,94,0.05776
563,95,0.057629
564,96,0.057463
565,97,0.072537
566,98,0.059815
567,99,0.058408
568,100,0.057426
569,101,0.05763
570,102,0.057648
571,103,0.057704
572,104,0.057222
573,105,0.05774
574,106,0.057537
575,107,0.058259
576,108,0.057389
577,109,0.057611
578,110,0.05763
579,111,0.057704
580,112,0.057278
581,113,0.057093
582,114,0.057166
583,115,0.057296
584,116,0.057259
585,117,0.057704
586,118,0.057686
587,119,0.057667
588,120,0.057296
589,121,0.057574
590,122,0.057815
591,123,0.057648
592,124,0.0575
593,125,0.058056
594,126,0.057389
595,127,0.057796
596,128,0.057389
597,129,0.057278
598,130,0.057297
599,131,0.05713
600,132,0.057667
601,133,0.057241
602,134,0.057685
603,135,0.057723
604,136,0.057389
605,137,0.057685
606,138,0.057166
607,139,0.057926
608,140,0.05813
609,141,0.057981
610,142,0.057241
611,143,0.057556
612,144,0.057482
613,145,0.057222
614,146,0.057463
615,147,0.057777
616,148,0.057537
617,149,0.057333
618,150,0.057019
619,151,0.057519
620,152,0.057574
621,153,0.057574
622,154,0.057223
623,155,0.057519
624,156,0.057389
625,157,0.057259
626,158,0.057018
627,159,0.057463
628,160,0.057556
629,161,0.061907
630,162,0.086408
631,163,0.066889
632,164,0.06013
633,165,0.05787
634,166,0.058019
635,167,0.058092
636,168,0.058408
637,169,0.058
638,170,0.057667
639,171,0.057833
640,172,0.057926
641,173,0.058111
642,174,0.057444
643,175,0.057278
