run,start_s,end_s,xyz_points,vector_ac_rms_mg,gap,overrun,saturated
3,185,190,1035,192.76607201731065,0,0,0
3,190,195,1036,192.636676826434,0,0,0
3,195,200,1035,192.0773150571048,0,0,0
3,200,205,1036,192.9717149082878,0,0,0
3,205,210,1036,193.13682819232187,0,0,0
3,210,215,1035,191.9821009724704,0,0,0
3,215,220,1036,192.0942004053104,0,0,0
3,220,225,1035,193.12080316822707,0,0,0
3,225,230,1035,192.79148223516583,0,0,0
3,230,235,1036,192.37438356697956,0,0,0
3,235,240,1036,193.1745551688517,0,0,0
3,240,245,1035,193.75293005087076,0,0,0
3,245,250,1036,192.86954679253392,0,0,0
3,250,255,1035,192.36862665920168,0,0,0
3,255,260,1036,192.46047978475,0,0,0
3,260,265,1035,192.42116825256625,0,0,0
3,265,270,1035,193.01749337887108,0,0,0
3,270,275,1036,192.54458446272596,0,0,0
3,275,280,1035,192.8992256685238,0,0,0
3,280,285,1036,192.74157570320955,0,0,0
3,285,290,1035,192.69488259146274,0,0,0
3,290,295,1036,193.3379696425621,0,0,0
3,295,300,1034,193.71394508663005,0,0,0
