window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
32,41352,41480,100475949519402,100476561501849,199.782675752,200.394658199,True,[],rms,1.2747695377144315,1.125731810412382,0,NORMAL,,40204,0,0,1611,96518,59185,100476567155364,160870,100476566994494,5653515,5429663,62982,100476567163512,sensor_live_rms_01,sensor_live,1
33,41480,41608,100476568744252,100477178116794,200.401900602,201.011273144,True,[],rms,1.2747695377144315,1.019200846318652,0,NORMAL,,41370,0,0,1500,95648,60426,100477183724513,161611,100477183562902,5607719,5379238,66870,100477183733198,sensor_live_rms_01,sensor_live,1
34,41608,41736,100477185326771,100477796427183,201.018483121,201.629583533,True,[],rms,1.2747695377144315,1.0799190125477005,0,NORMAL,,40407,0,0,1518,94351,59370,100477802023865,159166,100477801864699,5596682,5366904,70612,100477802032236,sensor_live_rms_01,sensor_live,1
35,41736,41864,100477803614716,100478415012665,201.636771066,202.248169015,True,[],rms,1.2747695377144315,1.090145813080091,0,NORMAL,,40870,0,0,1370,94481,59241,100478420661940,159315,100478420502625,5649275,5418941,71019,100478420670069,sensor_live_rms_01,sensor_live,1
36,41864,41992,100478422251420,100479033487258,202.25540777,202.866643608,True,[],rms,1.2747695377144315,1.0786609253656319,0,NORMAL,,41204,0,0,1555,95834,60074,100479039276737,161167,100479039115570,5789479,5548961,79351,100479039284830,sensor_live_rms_01,sensor_live,1
37,41992,42120,100479040866495,100479651983278,202.874022845,203.485139628,True,[],rms,1.2747695377144315,1.0529592344444487,0,NORMAL,,43704,0,0,1426,100333,62630,100479657871572,168148,100479657703424,5888294,5650331,69815,100479657880035,sensor_live_rms_01,sensor_live,1
38,42120,42248,100479659447534,100480268730467,203.492603884,204.101886817,True,[],rms,1.2747695377144315,1.0693357106747328,0,NORMAL,,44426,0,0,1630,99611,63777,100480274569778,168611,100480274401167,5839311,5603034,67666,100480274578852,sensor_live_rms_01,sensor_live,1
39,42248,42376,100480276149796,100480887261339,204.109306146,204.720417689,True,[],rms,1.2747695377144315,1.1010977268462843,0,NORMAL,,43111,0,0,1463,97444,61815,100480893008540,164407,100480892844133,5747201,5513553,69241,100480893016929,sensor_live_rms_01,sensor_live,1
40,42376,42504,100480894592595,100481505971786,204.727748945,205.339128136,True,[],rms,1.2747695377144315,1.1015570180317191,0,NORMAL,,45334,0,0,1370,106259,64185,100481511963709,175888,100481511787821,5991923,5740461,75574,100481511972802,sensor_live_rms_01,sensor_live,1
41,42504,42632,100481513532431,100482122993976,205.346688781,205.956150326,True,[],rms,1.2747695377144315,1.0270961108167174,0,NORMAL,,44519,0,0,1481,102333,63222,100482128875954,171166,100482128704788,5881978,5639053,71759,100482128884603,sensor_live_rms_01,sensor_live,1
42,42632,42760,100482130445065,100482741733424,205.963601415,206.574889774,True,[],rms,1.2747695377144315,1.0323143742316172,0,NORMAL,,43648,0,0,1408,98500,62704,100482747482903,166648,100482747316255,5749479,5517053,65778,100482747491847,sensor_live_rms_01,sensor_live,1
43,42760,42888,100482749063865,100483360199169,206.582220215,207.193355519,True,[],rms,1.2747695377144315,1.0571743012628454,0,NORMAL,,47018,0,0,1704,113574,67592,100483366273610,186944,100483366086666,6074441,5791923,95574,100483366282129,sensor_live_rms_01,sensor_live,1
44,42888,43016,100483367842461,100483977320230,207.200998811,207.81047658,True,[],rms,1.2747695377144315,1.078350366255221,0,NORMAL,,44648,0,0,1445,106352,63519,100483983218135,175167,100483983042968,5897905,5650201,72537,100483983227283,sensor_live_rms_01,sensor_live,1
45,43016,43144,100483984790171,100484596178050,207.817946521,208.4293344,True,[],rms,1.2747695377144315,1.027421148476261,0,NORMAL,,44685,0,0,1427,103425,62630,100484602122158,171092,100484601951066,5944108,5706645,66371,100484602130565,sensor_live_rms_01,sensor_live,1
46,43144,43272,100484603697916,100485212552020,208.436854266,209.04570837,True,[],rms,1.2747695377144315,1.0769184526125901,0,NORMAL,,44241,0,0,1425,98945,62537,100485218322832,166797,100485218156035,5770812,5540552,63463,100485218330628,sensor_live_rms_01,sensor_live,1
47,43272,43400,100485219904034,100485830873304,209.053060384,209.664029654,True,[],rms,1.2747695377144315,1.0512931251700135,0,NORMAL,,42703,0,0,1445,102259,61185,100485836679986,169037,100485836510949,5806682,5567275,70370,100485836687986,sensor_live_rms_01,sensor_live,1
48,43400,43528,100485838259689,100486449529403,209.671416039,210.282685753,True,[],rms,1.2747695377144315,1.0031516682869177,0,NORMAL,,43056,0,0,1388,97685,61889,100486455392955,164740,100486455228215,5863552,5633886,64926,100486455400752,sensor_live_rms_01,sensor_live,1
