monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,elapsed_s,trial,mode,method,repeat
100283957649383,0,0.0,77217792,77398016,7.790805733,sensor_live_rms_01,sensor_live,rms,1
100284057776063,0,0.0,77217792,77398016,7.890932413,sensor_live_rms_01,sensor_live,rms,1
100284157900279,0,0.0,77217792,77398016,7.991056629,sensor_live_rms_01,sensor_live,rms,1
100284258026218,0,9.987242795358492,77217792,77398016,8.091182568,sensor_live_rms_01,sensor_live,rms,1
100284358230750,0,0.0,77217792,77398016,8.1913871,sensor_live_rms_01,sensor_live,rms,1
100284458407411,0,9.982494199972736,77217792,77398016,8.291563761,sensor_live_rms_01,sensor_live,rms,1
100284558543128,0,0.0,77217792,77398016,8.391699478,sensor_live_rms_01,sensor_live,rms,1
100284658665678,0,0.0,77217792,77398016,8.491822028,sensor_live_rms_01,sensor_live,rms,1
100284758787432,0,0.0,77217792,77398016,8.591943782,sensor_live_rms_01,sensor_live,rms,1
100284858905704,0,0.0,77217792,77398016,8.692062054,sensor_live_rms_01,sensor_live,rms,1
100284959024773,0,9.988099878476843,77217792,77398016,8.792181123,sensor_live_rms_01,sensor_live,rms,1
100285059151453,0,9.98724838066072,77217792,77398016,8.892307803,sensor_live_rms_01,sensor_live,rms,1
100285159299244,0,0.0,77217792,77398016,8.992455594,sensor_live_rms_01,sensor_live,rms,1
100285259457127,0,0.0,77234176,77398016,9.092613477,sensor_live_rms_01,sensor_live,rms,1
100285359588677,0,0.0,77234176,77398016,9.192745027,sensor_live_rms_01,sensor_live,rms,1
100285459732450,0,9.985674751142138,77234176,77398016,9.2928888,sensor_live_rms_01,sensor_live,rms,1
100285559859204,0,0.0,77234176,77398016,9.393015554,sensor_live_rms_01,sensor_live,rms,1
100285659985995,0,0.0,77234176,77398016,9.493142345,sensor_live_rms_01,sensor_live,rms,1
100285760114008,0,0.0,77234176,77398016,9.593270358,sensor_live_rms_01,sensor_live,rms,1
100285860281762,0,9.983228675124066,77234176,77398016,9.693438112,sensor_live_rms_01,sensor_live,rms,1
100285960473276,0,0.0,77234176,77398016,9.793629626,sensor_live_rms_01,sensor_live,rms,1
100286060604233,0,0.0,77234176,77398016,9.893760583,sensor_live_rms_01,sensor_live,rms,1
100286160759173,0,9.984456199661016,77234176,77398016,9.993915523,sensor_live_rms_01,sensor_live,rms,1
100286260929149,0,0.0,77234176,77398016,10.094085499,sensor_live_rms_01,sensor_live,rms,1
100286361066792,0,0.0,77234176,77398016,10.194223142,sensor_live_rms_01,sensor_live,rms,1
100286461301953,0,0.0,77234176,77398016,10.294458303,sensor_live_rms_01,sensor_live,rms,1
100286561498615,0,9.980296798861907,77234176,77398016,10.394654965,sensor_live_rms_01,sensor_live,rms,1
100286661731017,0,9.976830208595702,77234176,77398016,10.494887367,sensor_live_rms_01,sensor_live,rms,1
100286761978568,0,0.0,77234176,77398016,10.595134918,sensor_live_rms_01,sensor_live,rms,1
100286862201711,0,0.0,77234176,77398016,10.695358061,sensor_live_rms_01,sensor_live,rms,1
100286962381206,0,9.982045793744346,77234176,77398016,10.795537556,sensor_live_rms_01,sensor_live,rms,1
100287062597238,0,0.0,77234176,77398016,10.895753588,sensor_live_rms_01,sensor_live,rms,1
100287162791195,0,0.0,77234176,77398016,10.995947545,sensor_live_rms_01,sensor_live,rms,1
100287262970098,0,9.982101094489034,77234176,77398016,11.096126448,sensor_live_rms_01,sensor_live,rms,1
100287363238926,0,9.97302347082963,77234176,77398016,11.196395276,sensor_live_rms_01,sensor_live,rms,1
100287463479328,0,0.0,77234176,77398016,11.296635678,sensor_live_rms_01,sensor_live,rms,1
100287563704083,0,0.0,77234176,77398016,11.396860433,sensor_live_rms_01,sensor_live,rms,1
100287663921763,0,0.0,77234176,77398016,11.497078113,sensor_live_rms_01,sensor_live,rms,1
100287764144388,0,9.977687395958368,77234176,77398016,11.597300738,sensor_live_rms_01,sensor_live,rms,1
100287864403586,0,0.0,77234176,77398016,11.697559936,sensor_live_rms_01,sensor_live,rms,1
100287964645415,0,9.975965804374894,77234176,77398016,11.797801765,sensor_live_rms_01,sensor_live,rms,1
100288064858336,0,9.978788189805854,77234176,77398016,11.898014686,sensor_live_rms_01,sensor_live,rms,1
100288165066720,0,0.0,77234176,77398016,11.99822307,sensor_live_rms_01,sensor_live,rms,1
100288265280956,0,0.0,77234176,77398016,12.098437306,sensor_live_rms_01,sensor_live,rms,1
100288365505803,0,9.977506809463232,77234176,77398016,12.198662153,sensor_live_rms_01,sensor_live,rms,1
100288465740520,0,0.0,77234176,77398016,12.29889687,sensor_live_rms_01,sensor_live,rms,1
100288565963275,0,0.0,77234176,77398016,12.399119625,sensor_live_rms_01,sensor_live,rms,1
100288666157492,0,9.980713668725588,77234176,77398016,12.499313842,sensor_live_rms_01,sensor_live,rms,1
100288766335173,0,9.98223581169169,77234176,77398016,12.599491523,sensor_live_rms_01,sensor_live,rms,1
100288866525260,0,0.0,77234176,77398016,12.69968161,sensor_live_rms_01,sensor_live,rms,1
100288966713459,0,9.98118038407736,77234176,77398016,12.799869809,sensor_live_rms_01,sensor_live,rms,1
100289066918455,0,0.0,77234176,77398016,12.900074805,sensor_live_rms_01,sensor_live,rms,1
100289167139783,0,0.0,77234176,77398016,13.000296133,sensor_live_rms_01,sensor_live,rms,1
100289267309260,0,9.982804120856285,77234176,77398016,13.10046561,sensor_live_rms_01,sensor_live,rms,1
100289367631440,0,9.967649893311517,77234176,77398016,13.20078779,sensor_live_rms_01,sensor_live,rms,1
100289468052176,0,0.0,77234176,77398016,13.301208526,sensor_live_rms_01,sensor_live,rms,1
100289568311209,0,9.97420421474275,77234176,77398016,13.401467559,sensor_live_rms_01,sensor_live,rms,1
100289668575630,0,0.0,77234176,77398016,13.50173198,sensor_live_rms_01,sensor_live,rms,1
