recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,10,50,55,52.5,1035,50.004833351,54.994989176,True,[],"[-0.6281486956521739, -0.7120420289855072, 0.08975275362318838]","[0.009833327228646115, 0.007342858223996334, 0.010793717964168928]",0.016343691100035106,16.343691100035105
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,11,55,60,57.5,1036,55.000596464,59.996263991,True,[],"[-0.6278360038610038, -0.7123372586872586, 0.08956071428571429]","[0.01013953742367018, 0.0074313175491357185, 0.010654219126903742]",0.016478685775454974,16.478685775454974
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,12,60,65,62.5,1036,60.002004834,64.997532329,True,[],"[-0.6281861003861003, -0.7117612934362934, 0.08981669884169882]","[0.009787140913671048, 0.007448566099395318, 0.010485031669115444]",0.01616184250954911,16.16184250954911
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,13,65,70,67.5,1036,65.003189469,69.998873635,True,[],"[-0.6280392857142857, -0.7122280888030887, 0.08942895752895753]","[0.009807561059200711, 0.007253277292538975, 0.010998206736686967]",0.016424336724364802,16.424336724364803
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,14,70,75,72.5,1035,70.004439478,74.995327487,True,[],"[-0.6285255072463767, -0.711891304347826, 0.08932695652173912]","[0.009859881460943652, 0.007422920616077598, 0.010710152207249782]",0.01634088042912338,16.34088042912338
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,15,75,80,77.5,1036,75.000923497,79.997609851,True,[],"[-0.6280543436293436, -0.7120285714285713, 0.089346138996139]","[0.01014290794195552, 0.007480745831188489, 0.010835802168956974]",0.016620912981981494,16.620912981981494
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,16,80,85,82.5,1036,80.001299623,84.998905068,True,[],"[-0.6281898648648648, -0.7120361003861004, 0.08944401544401545]","[0.009431811958246153, 0.007255294288843278, 0.010338001685862904]",0.015763015285482067,15.763015285482068
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,17,85,90,87.5,1036,85.002579952,89.999896155,True,[],"[-0.6284307915057915, -0.7118817567567568, 0.08954942084942086]","[0.009608031738649332, 0.006972972173273729, 0.010015511601388992]",0.015532130808672072,15.532130808672072
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,18,90,95,92.5,1035,90.003581243,94.996310357,True,[],"[-0.6284915942028987, -0.7121513043478259, 0.08966985507246376]","[0.009784931571774737, 0.007620639767932206, 0.010974728083225345]",0.01656090857524547,16.560908575245467
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,19,95,100,97.5,1036,95.001906942,99.998591825,True,[],"[-0.627986583011583, -0.7124765444015443, 0.08963600386100386]","[0.009915356226399068, 0.007283186595011709, 0.011024689169748065]",0.016519772013066925,16.519772013066923
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,20,100,105,102.5,1036,100.002239098,104.998626736,True,[],"[-0.6281823359073359, -0.7120059845559845, 0.0892030888030888]","[0.009697585912783383, 0.006918776066226436, 0.010428244896318679]",0.015832274833642798,15.832274833642797
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,21,105,110,107.5,1035,105.004162803,109.995070127,True,[],"[-0.6282579710144929, -0.7120759420289855, 0.08866376811594202]","[0.00964660495654121, 0.007595267466040769, 0.010616715983065116]",0.016231442737271787,16.231442737271788
