name,axis,frequency_hz,psd_g2_per_hz
S0,y_g,24.196836249253185,2.8290413584474743e-07
S0,y_g,24.600116853407403,2.712842719132115e-07
S0,y_g,25.003397457561622,2.447996554466944e-07
S0,y_g,25.406678061715844,2.8140774121961604e-07
S0,y_g,25.809958665870063,2.3888523901442177e-07
S0,y_g,26.213239270024282,3.8866438956496195e-07
S0,y_g,26.616519874178504,3.844716957270854e-07
S0,y_g,27.019800478332723,2.2817590752330481e-07
S0,y_g,27.42308108248694,2.1683246814154153e-07
S0,y_g,27.82636168664116,3.2176225386611995e-07
S0,y_g,28.229642290795383,4.843851538677669e-07
S0,y_g,28.6329228949496,4.043312203285299e-07
S0,y_g,29.03620349910382,3.306727264951115e-07
S0,y_g,29.439484103258042,3.3816315223472025e-07
S0,y_g,29.84276470741226,2.3397851340321853e-07
S0,y_g,30.24604531156648,2.0876124160080407e-07
S0,y_g,30.6493259157207,2.4197116019593213e-07
S0,y_g,31.05260651987492,2.9038011828222676e-07
S0,y_g,31.45588712402914,3.03240104744916e-07
S0,y_g,31.85916772818336,2.9824924608444477e-07
S0,y_g,32.26244833233758,2.3902713666515187e-07
S0,y_g,32.665728936491796,1.5322966175625967e-07
S0,y_g,33.06900954064602,2.0226463084084558e-07
S0,y_g,33.47229014480024,3.522607247959246e-07
S0,y_g,33.87557074895446,3.588702627390046e-07
S0,y_g,34.27885135310868,3.6982293220335107e-07
S0,y_g,34.6821319572629,3.1546522431309084e-07
S0,y_g,35.085412561417115,3.1898247719034096e-07
S0,y_g,35.488693165571334,2.5533204384459894e-07
S0,y_g,35.89197376972556,2.464507217818267e-07
S0,y_g,36.29525437387978,3.1820872341238743e-07
S0,y_g,36.698534978034,3.4364444094244516e-07
S0,y_g,37.101815582188216,2.778376986170045e-07
S0,y_g,37.505096186342435,2.2328960500458412e-07
S0,y_g,37.90837679049665,2.8035125447997216e-07
S0,y_g,38.31165739465087,2.265502389372009e-07
S0,y_g,38.7149379988051,2.1747421817389137e-07
S0,y_g,39.11821860295932,2.728482273540066e-07
S0,y_g,39.521499207113536,2.2250535965912747e-07
S0,y_g,39.924779811267754,2.1273832490174068e-07
S0,y_g,40.32806041542197,2.566524913191114e-07
S0,y_g,40.73134101957619,3.2657613338093836e-07
S0,y_g,41.13462162373041,2.1334010371564454e-07
S0,y_g,41.53790222788463,2.874140792400633e-07
