phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_before,65,70,1037,65.001165349,69.999927166,207.25132301297643,-0.6298405978784948,-0.7098902603664392,0.09344580520732869,25.424187731467182,0,0,0
normal_before,70,75,1036,70.005537199,74.998975463,207.27201284569642,-0.630282915057914,-0.7103006756756745,0.0929939189189187,25.357857844314292,0,0,0
normal_before,75,80,1036,75.004532107,79.998881406,207.23420370442136,-0.6299666988416988,-0.7101124517374495,0.0926852316602315,24.259586620133387,0,0,0
normal_before,80,85,1036,80.004507717,84.997779572,207.27892052654923,-0.6296693050193041,-0.7101576254826238,0.09388233590733572,25.66645197817715,0,0,0
normal_before,85,90,1036,85.00333279,89.997112162,207.25785480296145,-0.6302000965250957,-0.7098790540540519,0.09253465250965222,24.74507578326485,0,0,0
normal_before,90,95,1036,90.002700621,94.995733234,207.28885233099518,-0.6297295366795358,-0.7103684362934336,0.09338542471042446,25.275721330203275,0,0,0
normal_before,95,100,1037,95.001270804,99.9997773,207.26190929811688,-0.6300549662487941,-0.7099090646094472,0.09240028929604593,24.775957947527424,0,0,0
normal_before,100,105,1036,100.005365629,104.998827111,207.27104909708004,-0.629880115830115,-0.7100032818532803,0.0929600386100384,24.92222893334456,0,0,0
normal_before,105,110,1036,105.004436125,109.998760809,207.23522507772944,-0.6298914092664077,-0.7101802123552103,0.09327249034749002,25.484795297999582,0,0,0
normal_before,110,115,1036,110.004377804,114.998758709,207.2328922617487,-0.6299290540540532,-0.7102027992277963,0.09332519305019282,25.350978555523024,0,0,0
normal_before,115,120,1036,115.002414095,119.99790098,207.18701176211775,-0.6300419884169873,-0.7099392857142828,0.09274546332046298,25.23751962777352,0,0,0
normal_before,120,125,1036,120.001583755,124.995992936,207.23171900640475,-0.6296278957528948,-0.7097284749034709,0.09276805019305,25.25924323848908,0,0,0
normal_before,125,130,1037,125.001613617,129.999981461,207.26765863052796,-0.629705207328833,-0.7099729990356782,0.09326528447444538,25.40025638057881,0,0,0
normal_before,130,135,1036,130.005587753,134.999292804,207.2609394086539,-0.6297972972972966,-0.7097849420849388,0.09292615830115795,25.049923100379715,0,0,0
normal_before,135,140,1036,135.004877151,139.998643108,207.25841156996776,-0.6299892857142851,-0.7099204633204612,0.09300521235521203,25.216907461333005,0,0,0
normal_before,140,145,1036,140.004259974,144.999257633,207.20730431877865,-0.6300081081081081,-0.7102667953667936,0.09279440154440141,24.559065928636816,0,0,0
normal_before,145,150,1036,145.002988556,149.998744992,207.17583278113202,-0.6298499999999992,-0.7100145752895733,0.09252335907335883,24.92625870821283,0,0,0
normal_before,150,155,1036,150.002460082,154.996855962,207.23227090280236,-0.6298274131274112,-0.709698359073356,0.09224478764478732,25.361338697167376,0,0,0
normal_before,155,160,1036,155.00248105,159.997140504,207.22133501436514,-0.629722007722006,-0.7096607142857138,0.09308803088803073,24.787991022213816,0,0,0
normal_before,160,165,1036,160.000833742,164.99606875,207.19745884676504,-0.6298914092664084,-0.7096908301158273,0.09310308880308851,26.081132075361165,0,0,0
normal_before,165,170,1036,165.001685079,169.995472865,207.25750559557318,-0.6299817567567554,-0.7100333976833948,0.0934042471042469,25.508912269430375,0,0,0
normal_before,170,175,1037,170.001095194,174.999845197,207.25181282885612,-0.6299082931533269,-0.710025650916102,0.09304715525554451,25.57249287749709,0,0,0
normal_before,175,180,1036,175.003562954,179.999260311,207.1782828376807,-0.6297972972972962,-0.7096193050193026,0.09306167953667932,26.06412524000548,0,0,0
normal_before,180,185,1036,180.002968345,184.997064259,207.24471812777443,-0.6300796332046323,-0.7100221042471008,0.0930428571428568,26.502075412577653,0,0,0
normal_before,185,190,1036,185.002687143,189.997654537,207.2085598082685,-0.6300081081081077,-0.7100597490347471,0.09232384169884139,26.009972926508794,0,0,0
normal_before,190,195,1036,190.001307756,194.996605537,207.19485511688657,-0.6303356177606171,-0.7100635135135122,0.09353976833976814,26.10524396756383,0,0,0
normal_before,195,200,1036,195.000320849,199.994960908,207.22213968852486,-0.6299930501930491,-0.7098225868725841,0.09301650579150549,26.518544345207584,0,0,0
normal_before,200,205,1037,200.000561386,204.999404478,207.24795336304587,-0.6299195756991314,-0.7097323047251664,0.09300202507232376,26.592449065518224,0,0,0
normal_before,205,210,1036,205.003152327,209.99812218,207.20845780047594,-0.629891409266409,-0.7097924710424701,0.09299391891891852,26.29936370668016,0,0,0
normal_before,210,215,1036,210.003760528,214.998143641,207.23280064478305,-0.6298725868725861,-0.7097924710424692,0.09328001930501922,26.616247888844708,0,0,0
normal_before,215,220,1036,215.001815897,219.997518268,207.17807490057137,-0.6294396718146708,-0.7098451737451718,0.09322731660231622,26.213833741701055,0,0,0
normal_before,220,225,1036,220.00123395,224.995254654,207.24783923522958,-0.6298010617760615,-0.7097397683397663,0.09342306949806928,26.03978262145127,0,0,0
normal_before,225,230,1036,225.000854039,229.994557724,207.26099610373657,-0.6300495173745164,-0.7100221042471021,0.09321602316602287,26.879956355159536,0,0,0
normal_before,230,235,1037,230.000156572,234.998252216,207.2789465811191,-0.630081292189005,-0.7099128254580489,0.0926973963355832,25.866608706196473,0,0,0
normal_before,235,240,1036,235.003852453,239.997410267,207.26705057829938,-0.629808590733589,-0.7099016409266389,0.09274546332046306,26.767357689436377,0,0,0
normal_before,240,245,1037,240.001135171,244.999976166,207.24804030299026,-0.6301753134040492,-0.7100858244937293,0.09266730954676922,26.521735258379312,0,0,0
normal_before,245,250,1036,245.005571291,249.998816252,207.28003694669928,-0.6300382239382224,-0.7099919884169855,0.09324990347490308,25.815625596309236,0,0,0
normal_before,250,255,1036,250.004429155,254.997853745,207.2725804396297,-0.630113513513512,-0.7102366795366786,0.09329507722007682,26.531985175219514,0,0,0
normal_before,255,260,1036,255.003387241,259.997425719,207.24710163116208,-0.6297069498069495,-0.7097811776061751,0.09342306949806913,26.020603871426445,0,0,0
normal_before,260,265,1036,260.001105956,264.996638803,207.18510551312966,-0.6297935328185317,-0.7100183397683375,0.09303532818532796,26.12825186579564,0,0,0
normal_before,265,270,1037,265.000324615,269.999547125,207.23222419639808,-0.6295434908389569,-0.7099880424300837,0.09276885245901613,25.827778849387816,0,0,0
normal_before,270,275,1036,270.00514925,274.9994448,207.23643397515792,-0.6299892857142847,-0.7097849420849405,0.09332895752895737,26.341700418322514,0,0,0
normal_before,275,280,1036,275.003126408,279.997825902,207.21967382488538,-0.630162451737451,-0.7104136100386086,0.09342306949806922,26.04291576410321,0,0,0
normal_before,280,285,1036,280.003422786,284.997494557,207.24572001750673,-0.6298387065637054,-0.7101990347490331,0.09309932432432413,26.878368360855976,0,0,0
normal_before,285,290,1036,285.00118148,289.994959955,207.25789203134406,-0.6297709459459444,-0.7098075289575263,0.09335154440154422,26.215915254319857,0,0,0
normal_before,290,295,1037,290.00054934,294.998836588,207.2710007642202,-0.6298368370298927,-0.7097398264223701,0.09308100289296022,26.258701707854257,0,0,0
normal_before,295,300,1036,295.004435676,299.998193057,207.2587675039874,-0.6299365830115817,-0.7101275096525063,0.09299015444015431,27.02131057065238,0,0,0
