name,phase,pwm_percent,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
PWM50_1,operating50,50.0,5,10,1035,206.94282370059375,-0.1542817391304347,0.01538144927536218,-1.0916420289855095,0.0082532268536109,0.006600676573877431,0.009808254521207233,0.0082532268536109,0.006600676573877431,0.009808254521207233,-0.18719999999999998,-0.0039,-1.1232,-0.12869999999999998,0.0351,-1.0608,0.014418271098952226,0.009671772628933786,1.1025977341979811
PWM50_1,operating50,50.0,10,15,1035,206.97375517117695,-0.15404434782608706,0.015373913043478148,-1.091464927536235,0.008649384912077753,0.006515267513697857,0.009186405460494498,0.008649384912077753,0.006515267513697857,0.009186405460494498,-0.1794,-0.0078,-1.1232,-0.12869999999999998,0.039,-1.0647,0.014200373777366866,0.009010823693340213,1.1023890902676385
PWM50_1,operating50,50.0,15,20,1035,206.96047251447308,-0.15384086956521745,0.015618840579710061,-1.0915855072463791,0.008442191098773134,0.006472785287678118,0.010065603293903292,0.008442191098773134,0.006472785287678118,0.010065603293903292,-0.1794,-0.0078,-1.1271,-0.1248,0.0429,-1.0569,0.014645269188335973,0.009940821529016415,1.1024835059809155
PWM50_1,operating50,50.0,20,25,1034,206.97686015534114,-0.15406508704061883,0.015758413926498932,-1.091637911025148,0.008385718819406536,0.00650912703940588,0.009615236834763926,0.008385718819406536,0.00650912703940588,0.009615236834763926,-0.18719999999999998,-0.0078,-1.1232,-0.1248,0.039,-1.0491,0.01432277187983791,0.009485903119801147,1.1025686860425798
PWM50_1,operating50,50.0,25,30,1033,206.92530894908052,-0.15418780251694067,0.015599999999999895,-1.091920716360119,0.008512152141899702,0.00661958723338307,0.01025801585699001,0.008512152141899702,0.00661958723338307,0.01025801585699001,-0.18719999999999998,-0.011699999999999999,-1.1427,-0.1326,0.0429,-1.0569,0.01488296202203962,0.01011412901837017,1.1028635859712652
PWM50_2,operating50,50.0,0,5,1035,206.87725073758057,-0.15464347826086955,0.015656521739130316,-1.091672173913045,0.008465666007183332,0.006918131570260872,0.010238856490381308,0.008465666007183332,0.006918131570260872,0.010238856490381308,-0.1833,-0.011699999999999999,-1.131,-0.12869999999999998,0.0429,-1.0334999999999999,0.014978725833636288,0.010108108157106669,1.1026821243393863
PWM50_2,operating50,50.0,5,10,1035,206.90984674097405,-0.15447014492753616,0.01567536231884049,-1.091261449275366,0.00877755412975249,0.006914764832936264,0.00984310503551498,0.00877755412975249,0.006914764832936264,0.00984310503551498,-0.1794,-0.0078,-1.1271,-0.1248,0.0429,-1.0608,0.014891143204459724,0.009670059272504005,1.102251465561436
PWM50_2,operating50,50.0,10,15,1034,206.99676801017492,-0.153993423597679,0.015354835589941865,-1.0913550290135419,0.008981817829843529,0.006976652194525354,0.010485805955983857,0.008981817829843529,0.006976652194525354,0.010485805955983857,-0.1833,-0.0078,-1.131,-0.1209,0.0429,-1.053,0.015469287440551913,0.010286172314751508,1.102272899440278
PWM50_2,operating50,50.0,15,20,1035,206.91567782362958,-0.1543910144927537,0.015524637681159326,-1.0914837681159435,0.009048042809411844,0.006984546208472704,0.010098076887001489,0.009048042809411844,0.006984546208472704,0.010098076887001489,-0.1833,-0.011699999999999999,-1.1427,-0.1209,0.046799999999999994,-1.0569,0.015251954669321367,0.009949389851105446,1.1024583510463384
PWM50_2,operating50,50.0,20,25,1035,206.92872812693753,-0.15435333333333323,0.015430434782608575,-1.0916344927536246,0.008565505250318682,0.006680668723531554,0.00968736806903809,0.008565505250318682,0.006680668723531554,0.00968736806903809,-0.18719999999999998,-0.0078,-1.131,-0.11699999999999999,0.046799999999999994,-1.0608,0.014554872548113525,0.009561285201776858,1.102600977506439
PWM50_2,operating50,50.0,25,30,1033,206.9210014233798,-0.15428596321393998,0.015871829622458734,-1.0911316553727037,0.008335179906409907,0.006458569297363121,0.009297425705671438,0.008335179906409907,0.006458569297363121,0.009297425705671438,-0.1833,-0.0039,-1.131,-0.1248,0.0351,-1.053,0.014058110335089165,0.009110290016673484,1.102099978575807
PWM75_1,operating75,75.0,0,5,1035,206.89359642857343,-0.1543043478260867,0.015927826086956455,-1.0916081159420297,0.023332184866866286,0.013206187929221984,0.011464348932683607,0.023332184866866286,0.013206187929221984,0.011464348932683607,-0.21059999999999998,-0.0195,-1.1232,-0.09359999999999999,0.0702,-1.0257,0.029158627312236056,0.010694965447424853,1.1025750796169838
PWM75_1,operating75,75.0,5,10,1035,206.94019304096892,-0.15394637681159384,0.016063478260869513,-1.0912388405797109,0.02402226370555398,0.013328415740911257,0.011210962483888908,0.02402226370555398,0.013328415740911257,0.011210962483888908,-0.21059999999999998,-0.0195,-1.1232,-0.0897,0.0624,-1.053,0.02967156044964449,0.01019578556417178,1.1021613899320764
PWM75_1,operating75,75.0,10,15,1035,206.96264254467184,-0.15405565217391268,0.01619536231884054,-1.0913292753623203,0.023476727389534015,0.013314900945465807,0.011190502484326228,0.023476727389534015,0.013314900945465807,0.011190502484326228,-0.21059999999999998,-0.023399999999999997,-1.1349,-0.09749999999999999,0.058499999999999996,-1.053,0.02921764299120947,0.010204108500418094,1.1022681257254132
PWM75_1,operating75,75.0,15,20,1034,206.94452318748097,-0.15394816247582194,0.01594700193423592,-1.0916039651837532,0.02364818421245353,0.013288133174929382,0.011531788280680121,0.02364818421245353,0.013288133174929382,0.011531788280680121,-0.2067,-0.0195,-1.131,-0.10139999999999999,0.058499999999999996,-1.0491,0.02947529882412092,0.010562658540825222,1.1025214557573315
