name,start_s,end_s,xyz_points,observed_span_s,observed_rate_xyz_per_s,host_interval_max_ms,host_intervals_over_10ms,quality_flags_clear,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,vector_ac_rms_g,mean_x_g,std_x_g,ac_rms_x_g,mean_y_g,std_y_g,ac_rms_y_g,mean_z_g,std_z_g,ac_rms_z_g
B75_300s,185,190,1035,4.994023264,207.04749364179173,5.827667,0,True,0,0,0,0.19664743025976025,-0.21940608695652178,0.16575006081024846,0.16575006081024846,-0.02605652173913045,0.03078958641131708,0.03078958641131708,-1.071478840579709,0.10123798959771067,0.10123798959771067
B75_300s,190,195,1035,4.99390879,207.05223973463882,5.814853,0,True,0,0,0,0.1968066561840236,-0.21919130434782597,0.16527207426870785,0.16527207426870785,-0.02663304347826083,0.03100266390164096,0.03100266390164096,-1.0712452173913045,0.10225867306129637,0.10225867306129637
B75_300s,195,200,1036,4.997312374,207.11132755776777,5.88976,0,True,0,0,0,0.1965151606157499,-0.2193335907335905,0.16546665276327405,0.16546665276327405,-0.02616312741312734,0.03109157466146914,0.03109157466146914,-1.0709000965250948,0.10135240086067213,0.10135240086067213
B75_300s,200,205,1035,4.994609531,207.0231904180459,5.839704,0,True,0,0,0,0.19701006080479005,-0.21915739130434775,0.16585685659673896,0.16585685659673896,-0.025951014492753593,0.030811864933981817,0.030811864933981817,-1.0710040579710136,0.10175999291197851,0.10175999291197851
B75_300s,205,210,1035,4.993858336,207.05433162691943,5.934,0,True,0,0,0,0.19670125352122184,-0.2194776811594202,0.16603020938794727,0.16603020938794727,-0.0260904347826087,0.031792894951170755,0.031792894951170755,-1.071735072463768,0.10057119139215871,0.10057119139215871
B75_300s,210,215,1035,4.993218919,207.0808463985955,5.838389,0,True,0,0,0,0.19618362200209516,-0.21963594202898507,0.16500317497444955,0.16500317497444955,-0.026519999999999995,0.031273297958760174,0.031273297958760174,-1.0709249275362338,0.10140979550810042,0.10140979550810042
B75_300s,215,220,1036,4.998663874,207.05533040207777,5.790926,0,True,0,0,0,0.19634562348990772,-0.21956698841698802,0.16555556087456008,0.16555556087456008,-0.02644922779922783,0.030977739070767035,0.030977739070767035,-1.0712388996139006,0.10091253544141011,0.10091253544141011
B75_300s,220,225,1035,4.993691458,207.06125091959976,5.861963,0,True,0,0,0,0.19723086393884987,-0.21872405797101419,0.16616619138785263,0.16616619138785263,-0.025958550724637663,0.031028917661319343,0.031028917661319343,-1.071324347826086,0.10161701037959978,0.10161701037959978
B75_300s,225,230,1035,4.995082894,207.00357170088637,5.895648,0,True,0,0,0,0.19626736237924966,-0.21979043478260837,0.16549182455778014,0.16549182455778014,-0.026162028985507218,0.030149346741292656,0.030149346741292656,-1.0712866666666663,0.10111553011737553,0.10111553011737553
B75_300s,230,235,1036,4.998971664,207.04258186809358,6.100518,0,True,0,0,0,0.1960505981193277,-0.21877268339768302,0.16542179070106008,0.16542179070106008,-0.02623841698841696,0.03002432815054746,0.03002432815054746,-1.0719014478764468,0.10084645706869949,0.10084645706869949
B75_300s,235,240,1035,4.99388686,207.05314897742798,5.922037,0,True,0,0,0,0.19656460664906983,-0.21971130434782568,0.16590996760433818,0.16590996760433818,-0.02593594202898545,0.031040243832097365,0.031040243832097365,-1.0723492753623183,0.10073743345685801,0.10073743345685801
B75_300s,240,245,1035,4.993668927,207.06218516195997,5.806852,0,True,0,0,0,0.19576895740528902,-0.21892376811594164,0.16535558895119185,0.16535558895119185,-0.026184637681159393,0.030233910732851952,0.030233910732851952,-1.0712489855072473,0.10034403085364024,0.10034403085364024
B75_300s,245,250,1035,4.993609901,207.06463270047092,5.857889,0,True,0,0,0,0.19682068075286874,-0.2200655072463764,0.16600959688983413,0.16600959688983413,-0.02619594202898548,0.03053876672997683,0.03053876672997683,-1.0716898550724632,0.10122538139769802,0.10122538139769802
B75_300s,250,255,1035,4.993416617,207.07264770973947,5.866926,0,True,0,0,0,0.19672061753386946,-0.2193156521739127,0.16592648429286988,0.16592648429286988,-0.026048985507246346,0.030469260448920236,0.030469260448920236,-1.0716220289855087,0.10118807904496828,0.10118807904496828
B75_300s,255,260,1036,4.997281017,207.11262714245714,5.909351,0,True,0,0,0,0.19650843332999826,-0.21943523166023107,0.16544009310154617,0.16544009310154617,-0.02598619691119689,0.031176800177700956,0.031176800177700956,-1.071543822393823,0.10135653454534552,0.10135653454534552
B75_300s,260,265,1035,4.994768992,207.0165810783507,6.738944,0,True,0,0,0,0.19576670837687557,-0.2198620289855073,0.16426436974249112,0.16426436974249112,-0.025551594202898542,0.030869953574477613,0.030869953574477613,-1.0720930434782614,0.10192579118225452,0.10192579118225452
B75_300s,265,270,1035,4.994756801,207.01708635603296,5.819315,0,True,0,0,0,0.19593527995623197,-0.21931565217391286,0.16547781597874792,0.16547781597874792,-0.026109275362318836,0.03109089201263888,0.03109089201263888,-1.070842028985506,0.10020520337931055,0.10020520337931055
B75_300s,270,275,1036,4.998882906,207.04625802651276,5.832926,0,True,0,0,0,0.19630635700508678,-0.2190437258687255,0.16557345268138857,0.16557345268138857,-0.025880791505791503,0.02987593826172332,0.02987593826172332,-1.0713819498069492,0.10113874569498191,0.10113874569498191
B75_300s,275,280,1035,4.993179659,207.08247461840426,5.826925,0,True,0,0,0,0.19668203523302996,-0.21992608695652163,0.16628888539655073,0.16628888539655073,-0.02619594202898547,0.030114273871027438,0.030114273871027438,-1.070499130434782,0.10062286065403013,0.10062286065403013
B75_300s,280,285,1035,4.993190006,207.0820454974691,5.846666,0,True,0,0,0,0.19517627492380238,-0.21922898550724607,0.16502558089049765,0.16502558089049765,-0.025917101449275348,0.030883013909269653,0.030883013909269653,-1.072292753623188,0.09953178083790806,0.09953178083790806
B75_300s,285,290,1036,4.996947908,207.12643378630955,5.824907,0,True,0,0,0,0.19580231013617255,-0.21989826254826228,0.1647243098620525,0.1647243098620525,-0.026362644787644756,0.03128391818523605,0.03128391818523605,-1.0717169884169884,0.10112251410102423,0.10112251410102423
B75_300s,290,295,1035,4.9936637,207.06240189943108,5.837592,0,True,0,0,0,0.19605478719335692,-0.21938724637681145,0.16557173552711535,0.16557173552711535,-0.026056521739130416,0.0306268768878203,0.0306268768878203,-1.0719272463768117,0.10042646258865104,0.10042646258865104
B75_300s,295,300,1033,4.984047787,207.0606150069002,5.809389,0,True,0,0,0,0.19737513657274525,-0.21942313649564354,0.1660581271847374,0.1660581271847374,-0.025582187802516945,0.030995122063455796,0.030995122063455796,-1.0715863504356231,0.10208303160309719,0.10208303160309719
