window,window_start_ns,window_complete_ns,elapsed_s,method,input_sha256,dispatch_ns,worker_start_ns,decision_ns,processing_ms,dispatch_to_decision_ms,score,threshold,prediction,error,window_to_decision_ms
11,10142992223894,10143603998713,6.799876448,rms,cf98c188e76b6ab2c4a6d47a1f9034595ea0db44585d0564f7f78a87668fe4a7,10143604603194,10143604793565,10143605052305,0.25874,0.449111,0.5193081076811494,1.296361072562011,0,,1.053592
12,10143610168248,10144222465308,7.420416062,tflite_autoencoder,b6718faac26ef58cef8c3aef15fd878dc04cefb0a525ea4d49efe6c7058528ba,10144223201975,10144223709290,10144225591919,1.882629,2.389944,0.24390407126699495,0.47720259914362284,0,,3.126611
12,10143610168248,10144222465308,7.438347798,isolation_forest,b6718faac26ef58cef8c3aef15fd878dc04cefb0a525ea4d49efe6c7058528ba,10144223201975,10144223829290,10144243523655,19.694365,20.32168,0.38668338550716763,0.4833547401595273,0,,21.058347
12,10143610168248,10144222465308,7.418492192,rms,b6718faac26ef58cef8c3aef15fd878dc04cefb0a525ea4d49efe6c7058528ba,10144223201975,10144223400475,10144223668049,0.267574,0.466074,0.5092971512440069,1.296361072562011,0,,1.202741
13,10144228549418,10144839075886,8.037619454,tflite_autoencoder,5330756450cf168ff37aba391c311088b5427231b6cb7c4c627d5c5c9fed4e5b,10144840122682,10144840705904,10144842795311,2.089407,2.672629,0.2330405525178767,0.47720259914362284,0,,3.719425
13,10144228549418,10144839075886,8.060158133,isolation_forest,5330756450cf168ff37aba391c311088b5427231b6cb7c4c627d5c5c9fed4e5b,10144840122682,10144840857682,10144865333990,24.476308,25.211308,0.37922906871697515,0.4833547401595273,0,,26.258104
13,10144228549418,10144839075886,8.03548188,rms,5330756450cf168ff37aba391c311088b5427231b6cb7c4c627d5c5c9fed4e5b,10144840122682,10144840357089,10144840657737,0.300648,0.535055,0.4971487006207153,1.296361072562011,0,,1.581851
14,10144844361014,10145456090778,8.655021939,tflite_autoencoder,d21bc544edeef60cf2cff91a2261ba69ba950260aa2ce73cc4c5447fc1b64f6b,10145456861500,10145457176241,10145460197796,3.021555,3.336296,0.20646497929392268,0.47720259914362284,0,,4.107018
14,10144844361014,10145456090778,8.680182173,isolation_forest,d21bc544edeef60cf2cff91a2261ba69ba950260aa2ce73cc4c5447fc1b64f6b,10145456861500,10145457781926,10145485358030,27.576104,28.49653,0.38250500550825106,0.4833547401595273,0,,29.267252
14,10144844361014,10145456090778,8.652545051,rms,d21bc544edeef60cf2cff91a2261ba69ba950260aa2ce73cc4c5447fc1b64f6b,10145456861500,10145457538815,10145457720908,0.182093,0.859408,0.51615931447747,1.296361072562011,0,,1.63013
15,10145464663832,10146074282152,9.274017109,tflite_autoencoder,aba913263ffaa44b11bbf47f1818791df00fbf2da68769a1704f7401f56c4f93,10146075121874,10146075702633,10146079192966,3.490333,4.071092,0.24287551147389289,0.47720259914362284,0,,4.910814
15,10145464663832,10146074282152,9.296377621,isolation_forest,aba913263ffaa44b11bbf47f1818791df00fbf2da68769a1704f7401f56c4f93,10146075121874,10146075835522,10146101553478,25.717956,26.431604,0.385269409295787,0.4833547401595273,0,,27.271326
15,10145464663832,10146074282152,9.270475054,rms,aba913263ffaa44b11bbf47f1818791df00fbf2da68769a1704f7401f56c4f93,10146075121874,10146075357930,10146075650911,0.292981,0.529037,0.5174693028552813,1.296361072562011,0,,1.368759
16,10146080879261,10146691952878,9.890933427,tflite_autoencoder,7897618adc4fd3e7ac97fc193d482eb2901333d9271c4c3c25d7b5e86c289bef,10146692742100,10146693305766,10146696109284,2.803518,3.367184,0.2707838309149582,0.47720259914362284,0,,4.156406
