window,elapsed_s,batch_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
149,92.035415828,25.78242,17.780859965958282,182878208,180961280,57.3,2400000.0,0
150,92.646695888,19.713699,17.99504466852939,182878208,180961280,56.75,2400000.0,0
151,93.266982577,21.485699,14.509394754110904,182878208,180961280,56.75,2400000.0,0
152,93.888733227,26.111105,12.866919737865805,182878208,180961280,56.75,1800000.0,0
153,94.506579324,26.360346,14.56672002622624,182878208,180961280,55.65,1700000.0,0
154,95.127999493,30.555141,16.09216438271535,182878208,180961280,56.2,1600000.0,0
155,95.755020847,40.113287,17.543265304547575,182894592,180961280,57.3,1700000.0,0
156,96.360085188,27.831346,13.22173803008876,182894592,180961280,55.65,1700000.0,0
157,96.979189432,28.047215,16.15237590616438,182894592,180961280,57.3,1700000.0,0
158,97.589137902,20.610088,18.034365660943898,182894592,180961280,57.3,2400000.0,0
159,98.203593907,19.178218,13.019641434295863,182894592,180961280,57.3,2400000.0,0
160,98.82591141,23.778346,12.85517548272032,182894592,180961280,56.75,2400000.0,0
161,99.438700416,19.342458,13.055058985116982,182894592,180961280,57.3,2400000.0,0
162,100.057645273,19.179551,9.693900643265145,182894592,180961280,57.85,2400000.0,0
163,100.673355908,18.739088,14.617282869453293,182894592,180961280,57.3,2400000.0,0
164,101.29312769,19.000384,12.90795284452841,182894592,180961280,57.3,2400000.0,0
165,101.910449325,20.661625,11.339315575017748,182894592,180961280,57.85,2400000.0,0
166,102.534261089,25.812717,14.427465508381694,182894592,180961280,57.3,1700000.0,0
167,103.15046765,26.071346,14.605461286708552,182894592,180961280,56.75,1700000.0,0
168,103.769594637,27.514346,14.536612150425928,182894592,180961280,57.3,1700000.0,0
169,104.384792069,24.682883,14.629462201775802,182894592,180961280,56.75,1800000.0,0
170,105.004165056,25.965716,12.916298621428021,182894592,180961280,55.65,1800000.0,0
171,105.622164988,27.853697,14.563068691773772,182894592,180961280,55.65,1700000.0,0
172,106.238567143,27.097828,12.978507997943643,182894592,180961280,56.75,1700000.0,0
173,106.854314575,24.106142,16.240503142523217,182894592,180961280,56.75,1800000.0,0
174,107.474160026,26.52505,12.906441508783093,182894592,180961280,56.75,1700000.0,0
175,108.090881599,26.401371,14.593252725290181,182894592,180961280,57.3,1700000.0,0
176,108.707733982,26.731704,14.590165107204783,182894592,180961280,56.2,1700000.0,0
177,109.331076375,31.533698,16.04257903253475,182894592,180961280,57.3,1800000.0,0
178,109.945681651,28.580109,14.643574541464375,182894592,180961280,56.75,1700000.0,0
179,110.563131277,29.075238,14.576058142666797,182894592,180961280,56.75,1600000.0,0
180,111.183880565,32.191253,14.498585416504183,182894592,180961280,56.75,1600000.0,0
181,111.808227571,36.135451,16.016699908274788,182894592,180961280,56.2,1700000.0,0
182,112.41182444,25.896816,13.253948763024853,182894592,180961280,57.3,1700000.0,0
183,113.029354217,26.090761,14.574207790995597,182894592,180961280,57.3,1800000.0,0
184,113.648353289,26.538131,14.53960613427005,182894592,180961280,56.75,1700000.0,0
185,114.266318993,26.934483,14.563890135429848,182894592,180961280,57.85,1700000.0,0
186,114.876446485,19.917547,13.11198897336409,182894592,180961280,57.3,2400000.0,0
187,115.492815489,18.755641,11.356889891690962,182894592,180961280,56.2,2400000.0,0
188,116.112786896,20.945823,12.903773863017065,182894592,180961280,57.3,2400000.0,0
189,116.730285549,20.457047,12.955509793144905,182894592,180961280,56.2,2400000.0,0
190,117.348369071,20.522194,11.325335989375448,182894592,180961280,56.2,2400000.0,0
191,117.964168375,20.680176,11.367352565239727,182894592,180961280,57.85,2400000.0,0
192,118.581309549,19.873344,12.962976535115766,182894592,180961280,57.85,2400000.0,0
193,119.198901853,19.964696,12.953515700066177,182894592,180961280,56.75,2400000.0,0
194,119.823272185,26.500576,14.41453243180059,182894592,180961280,57.85,1700000.0,0
195,120.440378417,26.496168,14.584151585266529,182894592,180961280,57.85,1900000.0,0
196,121.056036855,25.948225,14.61855160336813,182894592,180961280,57.85,1700000.0,0
197,121.677786731,30.240016,14.475229481486004,182894592,180961280,57.3,1700000.0,0
