phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_followup,85,90,1036,85.001765911,89.997020546,207.19664474121447,-0.6272223938223928,-0.7125254826254808,0.09011409266409243,33.0759752242594,0,0,0
normal_followup,90,95,1036,90.002724241,94.998815191,207.16196129295844,-0.6264356177606174,-0.7126308880308861,0.08998233590733593,35.37013980194072,0,0,0
normal_followup,95,100,1035,95.004423534,99.994830307,207.19753860433454,-0.6265999999999997,-0.7125431884057953,0.09007681159420272,35.96057104000448,0,0,0
normal_followup,100,105,1037,100.000424446,104.999499974,207.2383172043165,-0.6268507232401154,-0.712609353905495,0.09018514946962378,35.40389605480883,0,0,0
normal_followup,105,110,1035,105.005119095,109.995611481,207.19398408476002,-0.626264637681158,-0.712283188405794,0.0903782608695651,35.478769239513966,0,0,0
normal_followup,110,115,1036,110.00120812,114.996581904,207.19170271403257,-0.6267857142857132,-0.7127777027027014,0.09021949806949794,36.58205392729387,0,0,0
normal_followup,115,120,1036,115.002180376,119.996434661,207.23814626511353,-0.6270492277992264,-0.7127889961389945,0.09027220077220058,36.36383448982705,0,0,0
normal_followup,120,125,1036,120.001970892,124.997965461,207.16595778989526,-0.6269777027027016,-0.7124050193050168,0.09044913127413111,36.71975284616166,0,0,0
normal_followup,125,130,1036,125.001650708,129.998587985,207.12687444845827,-0.6271207528957532,-0.7124539575289556,0.09050183397683387,36.135860701942455,0,0,0
normal_followup,130,135,1036,130.002273584,134.998698939,207.14809618125477,-0.6266276061776065,-0.7125443050193034,0.0907766409266409,37.142174167713804,0,0,0
normal_followup,135,140,1036,135.004294615,139.998638065,207.23444640155856,-0.6268911196911202,-0.7126873552123534,0.09036631274131254,38.28738333894284,0,0,0
normal_followup,140,145,1035,140.004236351,144.994424226,207.20662746590477,-0.6270371014492746,-0.7126599999999987,0.09060811594202885,38.67375136407726,0,0,0
normal_followup,145,150,1037,145.000024846,149.999566038,207.21901474834374,-0.6266852459016389,-0.7131659594985523,0.09042208293153335,37.633317848405724,0,0,0
normal_followup,150,155,1035,150.005175325,154.994880824,207.22665900968036,-0.6266715942028978,-0.7125733333333314,0.09010318840579704,38.848203389812724,0,0,0
normal_followup,155,160,1036,155.000485277,159.995337162,207.21335163274816,-0.6265937258687259,-0.7123786679536664,0.0903776061776061,39.42599230153452,0,0,0
normal_followup,160,165,1036,160.0009573,164.996560788,207.18217578440445,-0.6268195945945946,-0.7127927606177588,0.09072017374517359,39.08658881257075,0,0,0
normal_followup,165,170,1036,165.002164056,169.996272198,207.24421069214404,-0.6268534749034737,-0.7121452702702695,0.08973011583011575,38.45480028252759,0,0,0
normal_followup,170,175,1036,170.001808077,174.996744193,207.20985733624144,-0.6268045366795368,-0.7128228764478746,0.09097239382239375,39.01046101372045,0,0,0
normal_followup,175,180,1036,175.002333016,179.996468826,207.2430625389821,-0.6263716216216207,-0.7123447876447867,0.09024961389961383,39.051016743007615,0,0,0
normal_followup,180,185,1036,180.002067779,184.996733139,207.2210899830935,-0.6271320463320459,-0.7125706563706542,0.09030608108108104,39.03780288091212,0,0,0
normal_followup,185,190,1036,185.002332591,189.996926295,207.2240629244985,-0.6262059845559846,-0.7126158301158292,0.09021196911196899,38.27128189921692,0,0,0
normal_followup,190,195,1036,190.002516063,194.998134392,207.18156028688875,-0.6266313706563699,-0.7125443050193029,0.09037760617760604,39.154438636984885,0,0,0
normal_followup,195,200,1036,195.003731085,199.998744518,207.20664996858278,-0.6269889961389944,-0.7127287644787627,0.09037760617760612,39.121768839621375,0,0,0
normal_followup,200,205,1036,200.002428912,204.999402843,207.1253551232505,-0.6267668918918915,-0.7124351351351332,0.09077287644787628,39.442297466568455,0,0,0
normal_followup,205,210,1036,205.003095089,209.99947533,207.1499665911836,-0.6266464285714275,-0.712442664092663,0.09056959459459456,39.11423107575102,0,0,0
normal_followup,210,215,1036,210.003163872,214.998931107,207.17538494365022,-0.626830888030888,-0.7128002895752877,0.09043783783783778,38.78122155156735,0,0,0
normal_followup,215,220,1036,215.004527171,219.999654069,207.20194324080214,-0.6270078185328174,-0.7126459459459445,0.09041901544401536,38.730832038872705,0,0,0
normal_followup,220,225,1036,220.005250188,224.999670026,207.2312768192236,-0.6268572393822387,-0.7126459459459448,0.0902270270270271,38.668890600968886,0,0,0
normal_followup,225,230,1035,225.005256534,229.996677644,207.15543273406558,-0.626969275362319,-0.7128936231884041,0.09046115942028966,39.07536159210654,0,0,0
normal_followup,230,235,1036,230.000365871,234.99668569,207.152471718104,-0.6266803088803076,-0.7126948841698839,0.09072770270270258,39.32015747551522,0,0,0
normal_followup,235,240,1036,235.002173605,239.997288013,207.20246133749816,-0.6269814671814663,-0.7122657335907325,0.09080675675675653,39.539108619684946,0,0,0
normal_followup,240,245,1036,240.002877224,244.998014262,207.20152262617464,-0.6264243243243234,-0.712551833976833,0.09050559845559841,39.342322268741555,0,0,0
normal_followup,245,250,1035,245.00362464,249.994487505,207.17860377435957,-0.6265547826086947,-0.712614782608694,0.08997507246376805,39.565929379377074,0,0,0
normal_followup,250,255,1036,250.000076068,254.994706698,207.22253088813497,-0.62667277992278,-0.7123184362934348,0.09008021235521226,39.28086562268543,0,0,0
normal_followup,255,260,1036,255.000292353,259.997164469,207.12957545699976,-0.6264845559845558,-0.7122657335907315,0.09039642857142861,39.07754348287914,0,0,0
normal_followup,260,265,1036,260.00085351,264.996353366,207.1864737933845,-0.6267141891891889,-0.7127249999999983,0.0908067567567567,39.21324702078064,0,0,0
normal_followup,265,270,1036,265.001936411,269.998070047,207.16019134120694,-0.6270379343629333,-0.71249913127413,0.09060723938223941,39.24843483712946,0,0,0
normal_followup,270,275,1036,270.001752645,274.998261951,207.14461569342666,-0.6266539575289574,-0.7126308880308859,0.08990328185328185,39.34118400454148,0,0,0
normal_followup,275,280,1036,275.001941696,279.997949746,207.16539878273414,-0.6265786679536673,-0.712709942084941,0.09098368725868713,38.617359866801095,0,0,0
normal_followup,280,285,1036,280.00354179,284.997609304,207.2458966761177,-0.6266652509652503,-0.7128078185328165,0.09036254826254818,38.64737528458146,0,0,0
normal_followup,285,290,1036,285.003199274,289.999600813,207.14908357968946,-0.6268835907335912,-0.7125668918918904,0.09038889961389943,39.47628262322783,0,0,0
normal_followup,290,295,1036,290.003277873,294.999867139,207.14130077547182,-0.6270266409266405,-0.7125443050193023,0.09055830115830113,39.46513122670932,0,0,0
normal_followup,295,300,1035,295.005466239,299.99582704,207.1994473411222,-0.626848695652174,-0.712577101449274,0.09092840579710133,39.530207588542694,0,0,0
