block,start_since_first_xyz_s,end_since_first_xyz_s,start_since_command_completion_s,end_since_command_completion_s,center_since_command_completion_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,quality_flags_clear
14,65,70,65.029521897,70.029521897,67.529521897,1034,206.89937992684457,-0.15372562862669215,0.01488713733075429,-1.0915511605415875,0.023316667709533084,0.01244830855212839,0.01745958205178371,0.023316667709533084,0.01244830855212839,0.01745958205178371,-0.21059999999999998,-0.0195,-1.1504999999999999,-0.0897,0.054599999999999996,-1.0334999999999999,0.03167750596730658,0.016795538528905092,1.1024232997511723,0,0,0,True
15,70,75,70.029521897,75.029521897,72.529521897,1035,206.92909068531895,-0.1531173913043475,0.014974492753623137,-1.0920150724637678,0.022855954455333338,0.011595518316684062,0.01357942621391255,0.022855954455333338,0.011595518316684062,0.01357942621391255,-0.21059999999999998,-0.0195,-1.1427,-0.078,0.054599999999999996,-1.0491,0.029004336148167994,0.012405955485780351,1.1027992063114322,0,0,0,True
16,75,80,75.029521897,80.029521897,77.529521897,1034,206.93344796412686,-0.1529071566731138,0.014679690522243648,-1.0913474854932323,0.02287991244861537,0.011531841944270128,0.015005979416287748,0.02287991244861537,0.011531841944270128,0.015005979416287748,-0.2067,-0.027299999999999998,-1.1778,-0.10139999999999999,0.058499999999999996,-1.0334999999999999,0.029692645394541462,0.014320134977692448,1.102104997705793,0,0,0,True
17,80,85,80.029521897,85.029521897,82.529521897,1034,206.92962996116813,-0.15335976789168257,0.015339748549322973,-1.0915700193423619,0.023484120037804118,0.01184022078242707,0.01176984026420436,0.023484120037804118,0.01184022078242707,0.01176984026420436,-0.2067,-0.023399999999999997,-1.1349,-0.09749999999999999,0.0624,-1.0569,0.028813605501073588,0.010645467071154885,1.102397221250322,0,0,0,True
18,85,90,85.029521897,90.029521897,87.529521897,1035,206.89425315975797,-0.15323043478260862,0.015562318840579648,-1.0923089855072463,0.023487458906785077,0.011454316336600816,0.011999195884281376,0.023487458906785077,0.011454316336600816,0.011999195884281376,-0.2067,-0.0195,-1.1349,-0.0897,0.050699999999999995,-1.0491,0.028754874204318742,0.010930877821804855,1.1031140792008924,0,0,0,True
19,90,95,90.029521897,95.029521897,92.529521897,1034,206.95263798225304,-0.15322398452611205,0.016022437137330696,-1.0929731141199248,0.023539802606523996,0.01118176705041914,0.012226042873506116,0.023539802606523996,0.01118176705041914,0.012226042873506116,-0.21059999999999998,-0.011699999999999999,-1.131,-0.0819,0.058499999999999996,-1.0491,0.028785940065746706,0.011073028327623528,1.103777394276076,0,0,0,True
20,95,100,95.029521897,100.029521897,97.529521897,1035,206.90944686239422,-0.15307971014492722,0.0157771014492753,-1.0919246376811627,0.023004997438868833,0.011451084259965896,0.011459261247872153,0.023004997438868833,0.011451084259965896,0.011459261247872153,-0.2067,-0.023399999999999997,-1.131,-0.09749999999999999,0.058499999999999996,-1.0569,0.02813666480303208,0.010272084627913947,1.102715615634119,0,0,0,True
21,100,105,100.029521897,105.029521897,102.529521897,1035,206.88663150118816,-0.15320028985507234,0.015079999999999913,-1.0920339130434809,0.02285982933045277,0.011697864539419537,0.012055046837458075,0.02285982933045277,0.011697864539419537,0.012055046837458075,-0.2067,-0.0195,-1.1388,-0.0897,0.058499999999999996,-1.0569,0.02836786890221663,0.010958509153671005,1.102830813157093,0,0,0,True
22,105,110,105.029521897,110.029521897,107.529521897,1034,206.92440971628136,-0.1531862669245647,0.014381721470019307,-1.0918943907156684,0.022698557904378525,0.011616789213060573,0.012141297695681234,0.022698557904378525,0.011616789213060573,0.012141297695681234,-0.21059999999999998,-0.0195,-1.1271,-0.0858,0.058499999999999996,-1.053,0.028241555061544632,0.010966511990142291,1.1026813804372804,0,0,0,True
23,110,115,110.029521897,115.029521897,112.529521897,1034,206.91242132735806,-0.15385009671179853,0.01487205029013534,-1.0913474854932335,0.023161091418511404,0.011769555612537792,0.012007785130292836,0.023161091418511404,0.011769555612537792,0.012007785130292836,-0.21059999999999998,-0.0156,-1.131,-0.09749999999999999,0.058499999999999996,-1.0491,0.028620717998480486,0.010990532275512523,1.102238796373302,0,0,0,True
