window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
66,6629237455512,6629850145466,6629851104560,40.769813375,0.4573547192152216,1.296361072562011,0,,0.281686,0.959094,9.72245921166636,41205760,153812992,57.85,2400000.0,0
67,6629854480900,6630468391244,6630469516691,41.388225506,0.4394346287977778,1.296361072562011,0,,0.300094,1.125447,9.702247594226158,41205760,153812992,57.85,1700000.0,0
68,6630472945086,6631085105778,6631085942150,42.004650965,0.4503239252096219,1.296361072562011,0,,0.283686,0.836372,9.733352457201278,41205760,153812992,57.3,1700000.0,0
69,6631091537827,6631703511556,6631704434058,42.623142873,0.42885103204695413,1.296361072562011,0,,0.310316,0.922502,9.701219795488532,41205760,153812992,57.85,1700000.0,0
70,6631707942490,6632320720238,6632321759351,43.240468166,0.44647405742452206,1.296361072562011,0,,0.326797,1.039113,9.719376460789565,41205760,153812992,56.75,1700000.0,0
71,6632325167709,6632939029125,6632940249368,43.858958183,0.42245534940854873,1.296361072562011,0,,0.365482,1.220243,11.317796312136727,41205760,153812992,56.75,1800000.0,0
72,6632943775782,6633556485603,6633557416234,44.476125049,0.44008131086911056,1.296361072562011,0,,0.314148,0.930631,9.72187260162168,41205760,153812992,56.75,1700000.0,0
73,6633560820648,6634173761932,6634176791974,45.095500789,0.4604598147122396,1.296361072562011,0,,1.173724,3.030042,14.530589758004337,41205760,153812992,58.4,2400000.0,0
74,6634178447440,6634790841908,6634792889226,45.711598041,0.4285304116371251,1.296361072562011,0,,0.310278,2.047318,8.115695287382271,41205760,153812992,56.2,2400000.0,0
75,6634796412121,6635409795719,6635410743184,46.329451999,0.42569064658616773,1.296361072562011,0,,0.267056,0.947465,9.711081031658862,41205760,153812992,57.3,2400000.0,0
76,6635414191579,6636026660342,6636027510769,46.946219584,0.43929712551607514,1.296361072562011,0,,0.275148,0.850427,8.106775336711191,41205760,153812992,56.75,2400000.0,0
77,6636030893498,6636644254058,6636645062967,47.563771782,0.43267999528375745,1.296361072562011,0,,0.290797,0.808909,9.715781994674035,41205760,153812992,57.85,2400000.0,0
78,6636648601899,6637262866219,6637263754906,48.182463721,0.4577630569746106,1.296361072562011,0,,0.293,0.888687,6.465230095986696,41205760,153812992,57.85,2400000.0,0
79,6637267277542,6637879770526,6637880876157,48.799584972,0.41687063560095733,1.296361072562011,0,,0.303926,1.105631,9.722582743246914,41205760,153812992,57.85,2400000.0,0
80,6637884270237,6638497301091,6638498261223,49.416970038,0.43605418976985694,1.296361072562011,0,,0.347723,0.960132,9.718392032951554,41205760,153812992,57.3,2400000.0,0
81,6638501688229,6639114914546,6639115820566,50.034529381,0.445860979821366,1.296361072562011,0,,0.302815,0.90602,9.715678899154856,41205760,153812992,57.85,1700000.0,0
82,6639119431980,6639732022054,6639732968852,50.651677667,0.45033247604421023,1.296361072562011,0,,0.319352,0.946798,9.722134068114347,41205760,153812992,58.4,1600000.0,0
83,6639736375099,6640349391507,6640350496139,51.269204954,0.4271093144396753,1.296361072562011,0,,0.309594,1.104632,11.335533533405455,41205760,153812992,57.85,2400000.0,0
84,6640354035404,6640967007904,6640967881498,51.886590313,0.44747528362634265,1.296361072562011,0,,0.35663,0.873594,11.338030893336464,41205760,153812992,58.95,2400000.0,0
85,6640973251638,6641584668838,6641585442932,52.504151747,0.42733877317520985,1.296361072562011,0,,0.291112,0.774094,9.715724366002915,41205760,153812992,57.3,2400000.0,0
86,6641590873386,6642203607903,6642204396738,53.123105553,0.4317157212807491,1.296361072562011,0,,0.281723,0.788835,8.078166380056201,41205760,153812992,57.85,2400000.0,0
87,6642207839448,6642819749203,6642820826742,53.739535557,0.4251416694465052,1.296361072562011,0,,0.301204,1.077539,9.733440927652895,41205760,153812992,58.4,2400000.0,0
88,6642826146807,6643439331713,6643440374807,54.359083622,0.43556120905013684,1.296361072562011,0,,0.283,1.043094,9.684463880734294,41205760,153812992,58.4,2400000.0,0
89,6643443802869,6644055761049,6644056563347,54.975272162,0.443632542826104,1.296361072562011,0,,0.248889,0.802298,12.98307905082848,41205760,153812992,58.95,2400000.0,0
90,6644060324576,6644673074572,6644673925574,55.592634389,0.4298813443610483,1.296361072562011,0,,0.286205,0.851002,14.578132581148576,41205760,153812992,60.05,2400000.0,0
91,6644679442676,6645291255725,6645292257912,56.210966727,0.45139065172180465,1.296361072562011,0,,0.319759,1.002187,12.937945597304568,41205760,153812992,58.4,2400000.0,0
92,6645295696974,6645909295045,6645910300991,56.829009806,0.43364325175963436,1.296361072562011,0,,0.305778,1.005946,16.18014313809324,41205760,153812992,60.05,2400000.0,0
93,6645913839275,6646526016713,6646526453899,57.445162714,0.4260665332409339,1.296361072562011,0,,0.168204,0.437186,14.606919210319077,41205760,153812992,59.5,2400000.0,0
94,6646531830186,6647144400476,6647144839866,58.063548681,0.42385322201541187,1.296361072562011,0,,0.162889,0.43939,4.851333983026133,41205760,153812992,58.95,2400000.0,0
95,6647148315131,6647760777513,6647761232903,58.679941718,0.4211078745016721,1.296361072562011,0,,0.172445,0.45539,3.2446792804138958,41205760,153812992,58.4,2400000.0,0
96,6647766610950,6648379466276,6648379890147,59.298598962,0.4319900041109213,1.296361072562011,0,,0.156278,0.423871,3.2328085376240465,41205760,153812992,58.4,2400000.0,0
97,6648383396320,6648997612093,6648998042982,59.916751797,0.44090616993897436,1.296361072562011,0,,0.158074,0.430889,4.8531743836312975,41205760,153812992,57.85,2400000.0,0
98,6649001542766,6649614279721,6649614707092,60.533415907,0.44288459631090504,1.296361072562011,0,,0.159982,0.427371,4.864882841266937,41205760,153812992,57.85,2400000.0,0
99,6649620092028,6650231449146,6650231877350,61.150586165,0.4511880021693663,1.296361072562011,0,,0.162907,0.428204,3.2405980254035653,41205760,153812992,57.85,2400000.0,0
100,6650237265823,6650849491294,6650850135221,61.768844036,0.4516879190425949,1.296361072562011,0,,0.20463,0.643927,6.469773871531912,41205760,153812992,56.75,1600000.0,0
101,6650853668172,6651466870329,6651467418960,62.386127775,0.4458022425391377,1.296361072562011,0,,0.204871,0.548631,4.8600002095646575,41205760,153812992,56.2,1600000.0,0
102,6651472862136,6652084637235,6652085237051,63.003945866,0.4631012893946029,1.296361072562011,0,,0.198278,0.599816,4.855798241750363,41205760,153812992,56.2,1600000.0,0
103,6652090673876,6652702921512,6652703496124,63.622204939,0.4620361635709956,1.296361072562011,0,,0.198556,0.574612,4.852341752427168,41205760,153812992,55.65,1600000.0,0
104,6652707019001,6653320644324,6653321194214,64.239903029,0.4273261552760441,1.296361072562011,0,,0.202741,0.54989,6.475599149140052,41205760,153812992,56.2,1600000.0,0
105,6653324791220,6653937470189,6653938424247,64.857133062,0.4475886798752557,1.296361072562011,0,,0.323668,0.954058,4.860450204641581,41205760,153812992,56.2,1600000.0,0
106,6653943739849,6654556137984,6654556726077,65.475434892,0.42605367909789144,1.296361072562011,0,,0.199741,0.588093,4.852015932001905,41205760,153812992,56.2,1600000.0,0
107,6654560279584,6655173510608,6655174107128,66.092815943,0.44021164717412486,1.296361072562011,0,,0.207427,0.59652,4.8592311195782125,41205760,153812992,55.1,1500000.0,0
108,6655177636023,6655790531139,6655791100973,66.709809788,0.4439726100363151,1.296361072562011,0,,0.199685,0.569834,6.483048389261055,41205760,153812992,56.2,1600000.0,0
109,6655796530687,6656408135930,6656408850486,67.327559301,0.4411646684821536,1.296361072562011,0,,0.202944,0.714556,4.856333947768064,41205760,153812992,55.1,1600000.0,0
110,6656414334904,6657025647701,6657026210517,67.944919332,0.4410758178342693,1.296361072562011,0,,0.198889,0.562816,6.479209024907734,41205760,153812992,56.2,1600000.0,0
111,6657031615804,6657643557047,6657644137029,68.562845844,0.43292751072106955,1.296361072562011,0,,0.206889,0.579982,3.2366300557406262,41205760,153812992,55.1,1600000.0,0
112,6657649546613,6658261700707,6658262264949,69.180973764,0.43191526718803513,1.296361072562011,0,,0.199686,0.564242,6.471156714994074,41205760,153812992,55.65,1600000.0,0
113,6658265755103,6658879120995,6658879733589,69.798442404,0.42554285513145684,1.296361072562011,0,,0.199315,0.612594,4.858541090200246,41205760,153812992,55.1,1600000.0,0
114,6658883257114,6659496311060,6659496871598,70.415580413,0.438530320526611,1.296361072562011,0,,0.19176,0.560538,4.861156293988431,41205760,153812992,54.55,1600000.0,0
115,6659502279034,6660115333035,6660115867869,71.034576684,0.4373258362917461,1.296361072562011,0,,0.161222,0.534834,8.077594301397053,41205760,153812992,56.2,2400000.0,0
116,6660119356746,6660731732875,6660732179506,71.650888321,0.42900440737170054,1.296361072562011,0,,0.157038,0.446631,4.867666420013988,41205760,153812992,56.75,2400000.0,0
117,6660737559330,6661349171439,6661349594884,72.268303699,0.4392668993000227,1.296361072562011,0,,0.160574,0.423445,3.2393124461481833,41205760,153812992,55.1,2400000.0,0
118,6661354987209,6661966574354,6661966988669,72.885697484,0.429218197469716,1.296361072562011,0,,0.148518,0.414315,4.859139632187484,41205760,153812992,55.65,2400000.0,0
119,6661972376049,6662585655345,6662586085920,73.504794735,0.447726990430863,1.296361072562011,0,,0.170907,0.430575,4.845761863156575,41205760,153812992,56.2,2400000.0,0
120,6662589562352,6663202984222,6663203453241,74.122162056,0.4214546059456802,1.296361072562011,0,,0.170092,0.469019,3.239559253236323,41205760,153812992,55.1,2400000.0,0
121,6663206937470,6663819467078,6663819885820,74.738594635,0.4303720180334891,1.296361072562011,0,,0.159371,0.418742,4.866712576745767,41205760,153812992,56.2,2400000.0,0
122,6663825260200,6664438296216,6664438722717,75.357431532,0.4385310569005577,1.296361072562011,0,,0.159075,0.426501,3.231876217483984,41205760,153812992,55.65,2400000.0,0
123,6664442206982,6665055662572,6665056217407,75.974926222,0.4421539093657429,1.296361072562011,0,,0.198889,0.554835,3.2388862811629817,41205760,153812992,55.1,1600000.0,0
124,6665059698950,6665674058394,6665674633265,76.59334208,0.4522891753620166,1.296361072562011,0,,0.1965,0.574871,6.468130913411477,41205760,153812992,55.1,1600000.0,0
125,6665678148771,6666290301247,6666290867396,77.209576211,0.43749853332230554,1.296361072562011,0,,0.204445,0.566149,4.868281859268095,41205760,153812992,54.55,1500000.0,0
126,6666296311776,6666908313955,6666908876104,77.827584919,0.4235802144649101,1.296361072562011,0,,0.195685,0.562149,6.472392184277358,41205760,153812992,54.55,1600000.0,0
127,6666914293188,6667525625106,6667526194181,78.444902996,0.43784921028690343,1.296361072562011,0,,0.202686,0.569075,3.2398238001084385,41205760,153812992,54.55,1600000.0,0
128,6667531624413,6668143162738,6668143763646,79.062472461,0.44849463029696995,1.296361072562011,0,,0.200741,0.600908,4.857760702311281,41205760,153812992,54.55,1600000.0,0
129,6668149264397,6668760955351,6668761532482,79.680241297,0.44408725155683093,1.296361072562011,0,,0.207223,0.577131,6.474900278925124,41205760,153812992,55.1,1500000.0,0
130,6668766978140,6669379035742,6669379622077,80.298330892,0.43892520751844166,1.296361072562011,0,,0.207741,0.586335,6.471550204586528,41205760,153812992,53.45,1500000.0,0
131,6669383056509,6669996922244,6669997332059,80.916040874,0.4331320261846982,1.296361072562011,0,,0.152167,0.409815,4.856669335123176,41205760,153812992,54.55,2400000.0,0
132,6670000809880,6670614946615,6670615386116,81.534094931,0.4150400357136926,1.296361072562011,0,,0.163093,0.439501,3.2359600906035917,41205760,153812992,55.1,2400000.0,0
133,6670618853456,6671231556243,6671231981336,82.150690151,0.4436512777263927,1.296361072562011,0,,0.159315,0.425093,3.2436163169817696,41205760,153812992,55.1,2400000.0,0
134,6671237358846,6671849002909,6671849422762,82.768131577,0.45347824443660373,1.296361072562011,0,,0.158723,0.419853,6.478360727643815,41205760,153812992,54.55,2400000.0,0
135,6671854801382,6672467127112,6672467534576,83.386243391,0.4309843725796965,1.296361072562011,0,,0.143371,0.407464,3.235658588418874,41205760,153812992,55.1,2400000.0,0
136,6672471028527,6673084714166,6673085131759,84.003840574,0.42981926660370684,1.296361072562011,0,,0.157259,0.417593,3.238354018356083,41205760,153812992,55.1,2400000.0,0
137,6673088635229,6673702810202,6673703245684,84.621954499,0.4282711646968514,1.296361072562011,0,,0.158759,0.435482,4.853472767353345,41205760,153812992,54.55,2400000.0,0
138,6673706736987,6674319580531,6674320020050,85.238728865,0.4294036696968247,1.296361072562011,0,,0.169204,0.439519,3.242677112134908,41205760,153812992,54.55,2400000.0,0
139,6674325490875,6674936816768,6674937857492,85.856566307,0.4761484826051093,1.296361072562011,0,,0.298038,1.040724,4.855607591249236,41205760,153812992,54.0,1600000.0,0
140,6674941386868,6675554523042,6675555105969,86.473814784,0.42904220128925225,1.296361072562011,0,,0.200056,0.582927,4.860309055482458,41205760,153812992,54.55,1600000.0,0
141,6675560583108,6676173048798,6676173656762,87.092365577,0.4342705945689603,1.296361072562011,0,,0.198111,0.607964,4.8500453050012915,41205760,153812992,53.45,1600000.0,0
142,6676177172435,6676790989479,6676791541814,87.710250629,0.44791036594692746,1.296361072562011,0,,0.202112,0.552335,6.473693502318621,41205760,153812992,54.55,1600000.0,0
143,6676795023190,6677408816585,6677409381642,88.328090457,0.4290523411520009,1.296361072562011,0,,0.198093,0.565057,4.855629730081144,41205760,153812992,54.0,1600000.0,0
144,6677412898981,6678024867743,6678025430837,88.944139652,0.43620108017168757,1.296361072562011,0,,0.196612,0.563094,6.492989900276406,41205760,153812992,55.1,1700000.0,0
145,6678030828698,6678643527498,6678644082906,89.562791721,0.43429860254162583,1.296361072562011,0,,0.206018,0.555408,4.849252350914565,41205760,153812992,54.0,1600000.0,0
146,6678647589783,6679260741842,6679261355269,90.180064084,0.4375780250737373,1.296361072562011,0,,0.209926,0.613427,4.860085107771319,41205760,153812992,54.0,1500000.0,0
147,6679264883590,6679878291927,6679878894891,90.797603706,0.4350879022441145,1.296361072562011,0,,0.206908,0.602964,4.857988754663311,41205760,153812992,54.0,1500000.0,0
148,6679884329882,6680496386531,6680496833995,91.41554281,0.4332413943255372,1.296361072562011,0,,0.161834,0.447464,4.854857505108126,41205760,153812992,55.1,2400000.0,0
149,6680500312445,6681114071208,6681114494042,92.033202857,0.41244760439414924,1.296361072562011,0,,0.160797,0.422834,4.857044652783607,41205760,153812992,54.55,2400000.0,0
150,6681117959381,6681730917179,6681731358550,92.650067365,0.4245539356750985,1.296361072562011,0,,0.164315,0.441371,3.2422073457278597,41205760,153812992,54.55,2400000.0,0
151,6681736737874,6682348727447,6682349180633,93.267889448,0.43211972141232596,1.296361072562011,0,,0.162352,0.453186,4.855766434193262,41205760,153812992,54.55,2400000.0,0
152,6682354561272,6682966291826,6682966749808,93.885458623,0.43197781687828707,1.296361072562011,0,,0.164148,0.457982,3.2384984561354213,41205760,153812992,55.1,2400000.0,0
153,6682972142836,6683584690947,6683585120614,94.503829429,0.4332326658756401,1.296361072562011,0,,0.167334,0.429667,4.851458449478908,41205760,153812992,54.0,2400000.0,0
154,6683588598028,6684202574362,6684203061677,95.121770492,0.45236060426782637,1.296361072562011,0,,0.171167,0.487315,4.854829300265808,41205760,153812992,54.55,2400000.0,0
155,6684206528202,6684819264960,6684819687072,95.738395887,1.4731178945689711,1.296361072562011,1,,0.167575,0.422112,3.243468019080698,41205760,153812992,54.55,2400000.0,0
156,6684825067599,6685436408354,6685436969485,96.3556783,1.8285069162034089,1.296361072562011,1,,0.200167,0.561131,4.859995336056303,41205760,153812992,54.55,1600000.0,0
157,6685442396642,6686055550474,6686056124678,96.974833493,0.44448247909276933,1.296361072562011,0,,0.212167,0.574204,6.460413685135676,41205760,153812992,54.55,1600000.0,0
158,6686059650555,6686672743108,6686673335202,97.592044017,0.4288557681709868,1.296361072562011,0,,0.21776,0.592094,4.860577596337687,41205760,153812992,54.55,1500000.0,0
159,6686676878597,6687289461611,6687290049445,98.20875826,1.0977027224725264,1.296361072562011,0,,0.206796,0.587834,4.864486197482715,41205760,153812992,52.9,1600000.0,0
160,6687295459233,6687907242375,6687907820357,98.826529172,2.1737410543080085,1.296361072562011,1,,0.193296,0.577982,4.856179265376293,41205760,153812992,54.55,1600000.0,0
161,6687913232163,6688525201527,6688525821343,99.444530158,0.5040484114547974,1.296361072562011,0,,0.207333,0.619816,6.472481195229148,41205760,153812992,52.35,1500000.0,0
162,6688529352664,6689142250696,6689142799790,100.061508605,0.45005999998110685,1.296361072562011,0,,0.198649,0.549094,4.862403566117654,41205760,153812992,54.0,1600000.0,0
