split_index,split,recording_id,original_state,source_csv_sha256,label,window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,first_to_last_span_s,recording,recording_sha256,state,method,score,prediction,decision,error,threshold,threshold_source
6,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,6,38038,38166,14331589681408,14332201947271,183.705922576,184.318188439,0.612265863,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,tflite_autoencoder,0.3898345253150224,0,NORMAL,,0.544357966122261,FROZEN_KERAS_NORMAL_VALIDATION_P99
7,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,7,38166,38294,14332207543915,14332820403185,184.323785083,184.936644353,0.61285927,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,rms,0.9892839034657752,0,NORMAL,,1.2747695377144315,NORMAL_VALIDATION_P99
7,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,7,38166,38294,14332207543915,14332820403185,184.323785083,184.936644353,0.61285927,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,isolation_forest,0.4486145252283953,0,NORMAL,,0.5045395247064507,NORMAL_VALIDATION_P99
7,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,7,38166,38294,14332207543915,14332820403185,184.323785083,184.936644353,0.61285927,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,tflite_autoencoder,0.46008711512233047,0,NORMAL,,0.544357966122261,FROZEN_KERAS_NORMAL_VALIDATION_P99
8,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,8,38294,38422,14332825999995,14333437460507,184.942241163,185.553701675,0.611460512,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,rms,0.9253518024909041,0,NORMAL,,1.2747695377144315,NORMAL_VALIDATION_P99
8,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,8,38294,38422,14332825999995,14333437460507,184.942241163,185.553701675,0.611460512,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,isolation_forest,0.4449592738766229,0,NORMAL,,0.5045395247064507,NORMAL_VALIDATION_P99
8,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,8,38294,38422,14332825999995,14333437460507,184.942241163,185.553701675,0.611460512,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,tflite_autoencoder,0.373961938122991,0,NORMAL,,0.544357966122261,FROZEN_KERAS_NORMAL_VALIDATION_P99
9,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,9,38422,38550,14333443077725,14334056816402,185.559318893,186.17305757,0.613738677,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,rms,0.9114804740293945,0,NORMAL,,1.2747695377144315,NORMAL_VALIDATION_P99
9,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,9,38422,38550,14333443077725,14334056816402,185.559318893,186.17305757,0.613738677,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,isolation_forest,0.44366201104633446,0,NORMAL,,0.5045395247064507,NORMAL_VALIDATION_P99
9,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,9,38422,38550,14333443077725,14334056816402,185.559318893,186.17305757,0.613738677,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,tflite_autoencoder,0.3635043626927654,0,NORMAL,,0.544357966122261,FROZEN_KERAS_NORMAL_VALIDATION_P99
10,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,10,38550,38678,14334060491936,14334672954318,186.176733104,186.789195486,0.612462382,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,rms,0.9323549906752532,0,NORMAL,,1.2747695377144315,NORMAL_VALIDATION_P99
10,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,10,38550,38678,14334060491936,14334672954318,186.176733104,186.789195486,0.612462382,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,isolation_forest,0.43022776362383036,0,NORMAL,,0.5045395247064507,NORMAL_VALIDATION_P99
10,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,10,38550,38678,14334060491936,14334672954318,186.176733104,186.789195486,0.612462382,/home/malik/masterarbeit-edge-ai/data/upright_position_v4_sequence_20260911_104025/normal_before_75pwm_300s_20260911_104430_339886.csv,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,normal_before,tflite_autoencoder,0.358534810916271,0,NORMAL,,0.544357966122261,FROZEN_KERAS_NORMAL_VALIDATION_P99
